text,class
" It was clear right from the beginning that 9/11 would inspire about as many films as World War II and Vietnam combined; however there is certainly a big danger that most of these films to come are about as good (or rather: bad) as Pearl Harbor. It is a great luck that the first international release about 9/11 is not a cheesy love story starring a bunch of pretty faces but a collective work of 11 directors from the entire world. I'm not intending to say that all 11 episodes are great (Youssef Chahine's for example has a needless prologue with too many cuts and Shohei Imamura's has a really bizarre ending) or that the segments are in the right order (Imamura's being the only one not referring directly to the Twin Towers should open the film not end it Alejandro Gonzales Inarritu's should be the last one instead as it's the most impressive one). But it is an impressing effort and an interesting portrayal of the way other parts of the world react to the collapse of the twin towers. Consider Samira Makhmalbaf's opening segment in which an Afghan teachers tries to explain to her pupils what happened in New York and unsuccessfully suggests a one-minute silence. Or Idrissa Ouedraogo's part (which features a bin Laden-double so much resembling the real one that you'll be shocked when you see him I promise) in which 5 boys muse about good things that can be done with the reward put out on Laden. There's a surprisingly good (and extremely angry) segment by Ken Loach about a man from Chile talking about what he calls our Tuesday September 11 - that September 11 in 1973 when their elected president Allende was killed and Pinochet installed his dictatorship - with the generous help from Henry Kissinger and the CIA. This could have become a terrible effort in Anti-Americanism but it did become a sad tale and shares my recognition for the best segment with Inarritu's (mainly sound impressions and phone calls from the hijacked planes to a black screen sometimes a few pictures of people falling down the WTC and finally a collapsing tower ending with the screen brightening up and one question appearing) and Amos Gitai's about a hysterical reporter trying desperatly to get on air after a car bomb exploded in Tel Aviv (hard to recognize but this one is a masterpiece of choreography). All these different segments (I haven't mentioned yet Claude Lelouch's about a deaf girl Danis Tanovic's about a demonstration of the Women of Srebrenica Mira Nair's - strange but it takes an Indian director to make the part that is probably most appealing to Western tastes - about a Muslim family whose son is under a terrible suspicion after 9/11 and Sean Penn's with Ernest Borgnine (yes Ernest Borgnine) as a widower leading the most depressive life one can imagine) add up to a unique film not easy to watch and hard to forget. I am sure this film will be a classic known to everyone thirty years from now. I hope it will be remembered for starting a long tradition of world cinema movies. But alas it's far more probable it will be remembered as a one-film-only effort. And as the one of the few 9/11 movies made by then that don't reduce this terrible event to a love story with a happy end just to please the audience. ",positive
" The most hillarious and funny Brooks movie I ever seen. I can watch and re-watch the tape 100 times. I laugh my a** off and I cry on some moments. It is really good and funny movie and if you like Brooks - this is a must! In short - Brooks (billionare) gets to the streets as homeless for 30 days in order to win the entire poor district from his competitor. The reality bites but in the end - it is about warm relations between humans... Hightly recommend! ",positive
" Along with Fernando Fragata João Mário Grilo Abi Feijó Leonel Vieira étc...(other commercial directors) Diamantino Costa is one of the best Portuguese Directors; O Lampião da Estrela was his (Diamantino Costa) First movie before he made several successful commercials. This title is starred by one of the best Portuguese comedians of all times Herman José and José Pedro Gomes are great. Its a very funny movie!! (28/07/2000) BOA SORTE DIAMANTINO... ",positive
" The original Vampires (1998) is one of my favorites. I was curious to see how a sequel would work considering they used none of the original characters. I was quite surprised at how this played out. As a rule sequels are never as good as the original with a few exceptions. Though this one was not a great movie the writer did well in keeping the main themes & vampire lore from the first one in tact. Jon Bon Jovi was a drawback initially but he proved to be a half-way decent Slayer. I doubt anyone could top James Wood's performance in the first one though... unless you bring in Buffy! All in all this was a decent watch & I would watch it again. I was left with two questions though... what happened to Jack Crow & how did Derek Bliss come to be a slayer? Guess we'll just have to leave that to imagination. ",positive
" The Matador stars Pierce Brosnan as a burned out assassin. He's James Bond gone to seed in too-tight garish clothes gold chains and an ugly haircut. Our struggling assassin Julian Noble is in Mexico trying to regain his nerve. Staying at the same hotel is a likable down-on-his luck businessman Danny Wright (Greg Kinnear) also trying to regain his equilibrium. Danny is desperate to close a deal and return to his wife in Denver (Hope Davis) with good news. Noble and Wright unexpectedly become friends. Wright convinces Noble to reveal certain techniques which he demonstrates at a bullfight. Noble is eventually targeted by his employers and shows up in Denver. Writer and director Richard Shepard did the Q&A after this delightful movie at the Austin Film Festival. Shepard was also down on his luck. After suffering the loss of his agent and rejection of recent scripts he decided to write a story no one would buy and create a character no one would want to play. Then Pierce Brosnan called. Brosnan regains his equilibrium in this movie. (There is life after Bond!) He has a wonderful flair for self-deprecating comedy. Don't miss it. Stay for the closing credits to read what the filmmakers say about bullfighting. I look forward to more of Richard Shepard's projects. ",positive
" Dripping with symbolism and filled with marvelous cinematography Extase is so much more than the erotic drama we've all come to expect. This is almost a silent film with what dialogue there is in German and highly simplified German at that. Perhaps the filmmakers intended the film to reach the widest possible European audience as anyone with even a little high school level Deutsch can easily dispense with the subtitles. The story is of little importance anyway with the film succeeding on a cinematic level not a narrative one. Symbols of fecundity and the power of nature overwhelm the human characters--there are even scenes where flowers obscure the face of supposed star Hedy Lamarr--and there are moments here that will remind viewers of the works of Dreyer Vertov and Riefenstahl. If the film has any message to convey I think it's a political one: bourgeois man is timid and impotent; working class man is a happy productive creature; and woman is the creator destined to be unfulfilled until she has borne a child. This blend of Soviet socialist realism and National Socialist dogma doesn't overwhelm the film by any means--it's a beauty to watch from beginning to end--but it does place it in a very distinct artistic era. And oh yeah Hedy does get her kit off. ",positive
" The anime that got me hooked on anime... Set in the year 2010 (hey that's not too far away now!) the Earth is now poison gas wasteland of pollution and violence. Seeing as how crimes are happening ever 30 seconds are so and committed by thieves who have the fire power of third world terrorists the government of the fictional New Port City form the Tank Police to deal with the problem - cops with tanks! Oh the insanity! The heroes of this series include the new recruit Leona Ozaki a red haired Japanese woman (yeah I know they never match their distinctly Japanese names with a Japanese appearance) who has just been drafted into the Tank Police and is quickly partnered with blond blue eyed nice guy Al. Leona is new at using tanks and unfortunately she destroys the favorite tank of Tank Police Commander Charles Britain (also known as Brenten ) a big guy who looks like Tom Selleck on steroids and sporting a pair of nifty sunglasses a big revolver and a bad temper. Britain didn't like having Leona join the Tank Police in the first place and her wrecking his Tiger Special (a giant green monster tank) doesn't exactly endear her to him nor is he fond of her taking the remains of his giant tank and using it to build a mini-tank that she nicknames Bonaparte and he is soon pushing to have her transferred to child welfare where the boys are more your size as he puts it. There's also Specs the bifocal genius Bible quoting/God fearing Chaplain purple MO-hawked Mohican and the pot bellied Chief who's right on the edge thanks to the Mayor always yelling at him about the Tank Police antics. Seeing as how the tank cops often destroy half the city while chasing the bad guys and use extreme violence to capture them they're not very well liked by the people. The villains are a cyborg named Buaku who's got a mysterious past that's connected with a project known as Green Peace his gang and his two sexy cat cyborg sidekicks Anna & Uni Puma. In the first installment these guys are being paid to steal urine samples from a hospital treating people who haven't been infected by the poison gas clouds and in the 2nd they're hired to steal a painting that is of a naked Buaku. The story however was uncompleted in the anime and was finished up in a cult comic ( Manga ) book that's very hard to find. All sorts of chaos and mayhem ensue in this black comic venture that examines how far people want their police to go in order to catch criminals and what happens when the fine line between good guys and bad guys starts to get blurred. This is the kind of thing that if you were going to make a movie of it you'd better go get Quentin Tarantino. Uneven in places but still a lot of fun. Followed by New Dominion: Tank Police . ",positive
" I watched this film sort of by accident having bought it as the B side on The Omega Man DVD. The Omega Man was a bit of a disappointment - except for the beginning which was clearly the inspiration for 28 Days Later the rest of it is just the stuff of TV movies. But Soylent Green is in a whole other league. I bet this is one of Tarantino's favourites. There are at least 3 scenes in the film that I've never seen anything like before. Heston casually getting into bed with the furniture while discussing something else completely unrelated! A whole crowd of people being scooped up by a fleet of mechanical diggers! A priest taking confession and being shot by the confessor. Ok maybe that's been done since - but there aren't many films that are so consistently original like this. And what the heck is going on between Heston and Edward G. Robinson? Is this the most unlikely gay couple ever or what? Luckily I saw this film without knowing the ending - which apparently is rare. Then I watched it again and enjoyed all the little clues that make the long early scenes worthwhile. A very nice script - and some great sets too. Just when you thought you'd seen everything . . . ",positive
" Bonanza had a great cast of wonderful actors. Lorne Greene Pernell Whitaker Michael Landon Dan Blocker and even Guy Williams (as the cousin who was brought in for several episodes during 1964 to replace Adam when he was leaving the series). The cast had chemistry and they seemed to genuinely like each other. That made many of their weakest stories work a lot better than they should have. It also made many of their best stories into great western drama. Like any show that was shooting over thirty episodes every season there are bound to be some weak ones. However most of the time each episode had an interesting story some kind of conflict and a resolution that usually did not include violence. While Bonanza was a western the gunfighting was never featured as the main attraction. While I am a fan of The Rifleman and Wanted: Dead Or Alive; those shows usually ended with a gunfight. Gunfights were how many westerns resolved every conflict and Bonanza was very different in trying to seek peaceful resolutions and harmony instead of killing. In the early years of Bonanza there are some interesting episodes that do feature a lot of gunfights. Those episodes stand in contrast to the rest of the series but they are pretty good in and of themselves. In 1964 when Pernell Whitaker wanted to leave the show Guy Williams was brought in to replace him. Williams was playing the role of a long-lost cousin. Unfortunately Whitaker decided to stay one more year and thus Williams was written out of the series when he moved away to marry Adam's old girlfriend. If Williams had stayed on for the duration of Bonanza one can only wonder how much better the series would have been in the years after 1965 when Pernell Whitaker left the show. Undoubtedly once Pernell Whitaker left the series the stories focused more on comedy and country hijinks. Whitaker had often played the heavy in many episodes and his absence left a void in the cast. Little Joe always wanted to play the nice kid and Hoss always wanted to play the good old boy with a heart of gold. Since Ben was the kind and wise patriarch of the family that did not leave too much room for any gunfights. At some point they hired a ranch hand called Candy (David Canary) who became their fourth member of the cast but Candy was never featured in any gunfights and he was hardly more than an older version of Little Joe. For a year or two they also had Ben take in some other lost cousin (Jamie played by the forgettable Mitch Vogel) who was a teenager that was usually getting into some kind of trouble with someone. Apparently by adding the teenager the studio was looking to attract younger viewers. It also gave the writers a chance to write episodes about teenage problems alcohol delinquency etc. Those kind of preachy episodes were popular in the 1960s as a reaction of the establishment media to the counter-culture movement. Dragnet was probably the most popular source of law and order TV though Hawaii 5-0 The F.B.I. and many other shows also tried to jump on the bandwagon by doing TV shows that featured irresponsible teenagers causing mischief mayhem and crime. The addition of a teenager to the cast gave the Cartwrights more chances to show up and solve problems but those episodes feel very contrived and are not very good in general. After Dan Blocker died the series limped along for another year or so before it was canceled. The last season was pretty bad as it featured Little Joe tracking down the killers of his wife and most of the episodes were somewhat depressing because Little Joe was usually drinking or otherwise remembering how much he loved his wife and how unfair it was that she was killed. I don't think I have ever seen the last episode of the series and I wonder if they ever officially wrapped it up in some way. By the last year there was only Ben (Lorne Greene) actually living on the Ponderosa as Adam had moved away (and never came back even once as a guest) and Hoss had died and Little Joe had left after his wife (in the series) had been killed by drifters. Overall the era from 1959-1965 is the best of this series. Once Adam left it slowly declined. Most of the shows before 1970 are pretty good too. By 1970 the series was trying to hard to be hip and topical and it had lost a lot of its western flavor. The addition of Candy and the teenage kid also diluted the general quality of the show and the death of Hoss (Dan Blocker) was the final nail. Bonanza is probably the best western series ever made and of the 465 episodes that were produced at least one hundred of them are excellent western drama! That is a pretty good record. Even the worst of Bonanza is better than a lot of other TV shows. ",positive
" A famous orchestra conductor Daniel Dareus suffers what appears a heart attack as he finished conducting a concert. Suddenly we watch him as he arrives in the small town that he has left years before. Since he left so young and having his name changed contributes to give him a new persona. He has bought the old school building where he plans to stay. The building needs a lot of work. One would expect a man in his position to have all the comforts of the world he left behind to be installed in his new abode but no Daniel puts up with the harsh winter in his own way. The local pastor Stig whose church has a small choir comes calling to see if he can interest Daniel in helping but the conductor has no desire to go back to music. Daniel begins to explore his new universe. The town's people leave him alone. He makes an impression on Lena who works in the local store where he goes to get his food supplies. Little by little he comes around and decides to involve himself with the choir. Lena will ultimately fall in love with Daniel. At first the relationship between Daniel and the choir members is not exactly what he expected. As they get to know him better they come around to accept him and make him one of them. His new position doesn't endear him to the woman who used to be in charge. The members of the choir are a motley crew but they realize the change Daniel has made in the way they interpret different songs. The new piece composed for Gabriella a battered wife makes a great impact in her life and that of her fellow singers. Daniel's ideas for the repertoire clash with Stig's own. The vicar suddenly begins seeing Daniel in a new light; he is a tormented man who likes to read pornographic magazines before making love to his wife Siv. His ideas clash with the dogma as Siv points to him. Stig decides to try to put a stop to what he considers an unhealthy influence of Daniel by firing him as the head of the choir. The choir which has been invited to participate in a competition travels to Austria. Daniel who by now has fallen totally for Lena has a chance to show for the first time in his life his feelings for her when she starts to gets doubts about their relationship. Daniel who is late for his own concert gets to hear them making extraordinary music even though he is not in among them. Kay Pollak the director of this enormously appealing film shows he was the man to direct it. The story involves the viewer from the start. Great part of the success of the movie goes to the ensemble cast that was put together. William Nykvist who plays the leading role is the best excuse for watching the film. Frida Hallgren Niklas Falk Ylva Loof do excellent work for Mr. Pollak. Stefan Nilsson is the composer for most of the beautiful music one hears. Harald Gunnar Paalgard's cinematography makes the film look better capturing different seasons for the viewer in their beauty. ",positive
