text,class
 I have never read the Bradbury novel that this movie is based on but from what I've gathered it will be interesting (when I finally do read it and I will). My comments will be based purely on the film. As soon as I saw the trailer I knew I had to see it and was so excited but when I finally did I was so disappointed it hurt. This is because the movie itself felt so amateurish. The actors were not well cast (though Robards and Pryce are both good actors - just not here). The kid actors it seemed were merely asked to show up get in the characters' clothes say the lines and make the faces. The set and props were cheap and unrealistic. The direction was surprisingly bad. I was so surprised at the awfulness of it that I had to go online and check who directed it just to see the kind of work he had done. The editing was cut and paste and the plot (screenplay) was just that as well (even though the author had been involved himself irony?). The building up of the tension fear and suspense was so mild it was ineffective when the climax finally came. I've read some of the comments on this movie and find it hard to believe people actually like it. What hurts the most is that the content is interesting and fun and intriguing. It had so much potential. Unfortunately the film was so technically bad it takes away from the brilliance of the story. ,neg
 What percentage of movies does a person go to see these days that leave them wondering what happened to their eight to ten dollars? ANSWER: TOO MANY! This movie isn't like that. It is a story about real people that are sometimes a combination of both likable and unlikable. Downside: Not enough character development & some plot lines left twisting in the wind. Upside: Forces viewers to think about the choices they have made for good or bad in their own lives. Well acted by: Scott Cohen Judd Hirsch Susan Floyd Ato Essandoh and Elliot Korte. Contains some good lighthearted humor. ,pos
 It is incredible that with all of the countless crimes that have been uncovered and laid unequivocally at the doorstep of Marxism from the Berlin Wall to the Gulag archipelago to the Cultural Revolution to the Khmer Rouge one still finds admirers of Communist totalitarianism in Hollywood and are still making propaganda in its favor. It just shows the moral depravity of Hollywood. In this particular film a psychotic murderer is glorified. Needless to say that neither his crimes nor his psychotic proclamations were included. That both the director and the actor expect audiences to sit through this seemingly interminable propagandistic film demonstrates the tunnel vision that they have in regards to their object of worship. ,neg
 This is by far my favorite film of all time. That's mainly because it's not afraid to delve into some very politically incorrect topics (such as spanking and female submissiveness) that other mainstream films are just too timid to touch. Nothing seems to be off-limits in this film as the director freely develops the story without any concern given to possibly offending the viewer. However I don't think anything was done here purely for shock value or to purposely offend anyone. Sean Young turns in an excellent and courageous performance. Most established mainstream actresses would not have taken on this role or would have asked for some major script changes before accepting it. The other cast members do a fine job as well. Have you noticed that this movie hasn't appeared on pay cable since an obligatory brief run a year after it hit the theaters? Have you ever wondered why? The obvious reason is that it just doesn't fit today's political atmosphere. It seems quite ironic to me that some premium channels now carry softcore porn (that's getting closer and closer to hardcore porn) but will not carry a mainstream movie like Love Crimes . Sadly even though this movie is only 11 years old it could probably not be made today. ,pos
 Yes this is one of the great musical movies I grew up with with such great entertainers as Frank Sinatra and Gene Kelly not to mention the petite and glorious voice of Kathryn Grayson. The music and dancing is superb. I understand Frank took lessons from Kelly; and there is Kelly dancing with Jerry Mouse which is quite unique for the time. Betty Garrett plays the waitress who falls in love with Sinatra. She is one of Hollywood's great underrated stars. I saw this again on A&E TV and as well have it in my old VCR tapes. Never get tired of these old musicals. Whatever happened to Hollywood?? ,pos
 I couldn't make sense of this film much of the time and neither could anyone else based on other reviews. The opening scene of this film has virtually nothing to do with the rest of the story. In it a photojournalist with a big mustache cancels his vacation to get away from his girlfriend. He is assigned to photograph a mountain range. It's rumored to be haunted but I couldn't tell whether he heard that from his boss or later in the film. On his way he meets a beautiful writer (Patty Shepard) and convinces her to join him on his working trip. Throughout the film there is this terrible music score mostly consisting of noisy singing that makes you want to scream SHUT UP ALREADY!!! What really will gall a person is that the film always seems like it's about to become good though it never does. There is beautiful mountain scenery and some genuinely creepy atmosphere. The inn and the silent abandoned old buildings scattered on the mountain are rather ominous. The foggy nights look real not like someone put an artificial fog machine on the set. And the idea while not original had potential. But it never does improve at least not enough to be worthwhile. Here's how it goes more or less. They stop at this inn run by a weird innkeeper (you expect him to be named Igor) with a hearing problem. There is a scene where the writer thinks a peeping tom is in her window but the scene is so dark I had no idea what was going on. Whether this was poor lighting or a poor film transfer is unknown to me. In any event we never find out know what happened. There is a scene where she wanders off during the night. Whether she is sleepwalking or mesmerized by the witches of the title is never explained. Another scene which is never explained is when their car is stolen then found again with nothing stolen. They wind up in this apparently abandoned mountain village whose sole inhabitant is this seemingly kindly old woman. There are other things including a chained wild man in a cave who is never explained an attempt to sacrifice the writer in some way (will they kill her or brainwash her into joining them?) the witches themselves a bunch of brunette women in white robes who don't show up until the last 15 minutes of the film and whose practices and beliefs are never explained. Even the closing scene doesn't make any sense. When all is said and done most people will be saying Huh?  ,neg
 This is in my opinion much better than either of the 2 1990's versions but is still not all that good. It feels dated probably because it is but it does stand up well compared to other BBC 1980's period pieces such as Mansfield Park and Northanger Abbey. The length of this adaptation allows for a much better adaptation of the book than either of the 2 90's versions and St John Rivers is at least covered although not very well. Timothy Dalton is very good as Rochester but the actress playing Jane is much too old. There is definitely scope for a TV adaptation of this length that has more than a tenner spent on it. ,pos
 The John Van Druten Broadway hit is brought to the screen with a maximum of star power in this romantic fantasy about a modern-day witch who beguiles a successful Manhattan publisher. James Stewart may get top billing but it is Kim Novak who steals the show as one of the most alluring witches ever to cast a spell on the movie screen. The lead pairing is in fact one of the movie's few weaknesses: the gray-haired Stewart seems a bit old for the role and while it is easy to see why he falls hard for Novak it's a little harder to understand what she finds attractive about him as they seem mismatched in temperment and outlook. (It is one of the story's amusing conceits that witches and warlocks are portrayed as Greenwich Village beatniks and bohemians.) Curiously the Stewart-Novak pairing would generate a lot more heat in Vertigo released the same year as this film but then Vertigo had a compelling suspense story and the benefit of Alfred Hitchcock's direction. The film's comic moments are mostly provided by the stellar supporting cast including a young Jack Lemmon (as Kim's warlock brother) Elsa Lanchester (their ditzy aunt) and Ernie Kovacs (!) as a befuddled writer. Hermione Gingold even shows up in a hilarious cameo as a sort of Grand Witch. There's lots to like in this movie--wit romance and a great cast--that is if you can possibly take your eyes off the enchanting Miss Novak. I have seen the movie a half a dozen times and I never can. ,pos
 Steven Seagal appears to be sleepwalking through a dreadful movie shot almost entirely in close-up to disguise the complete lack of budget and resources. To pick on the technical flaws - silver F/A-18s and F-14s take of from a carrier for an air-strike and miraculously become camouflaged F-16s for the actual strike - would give this movie more credibility than it deserves. Suffice it to say that the most interesting thing in the movie is the credit titles which fade on and then disappear in a lightning wipe which presumably is available to all users of Final Cut Pro. Putting all your creativity into your own credit puts Michael Keusch in the same category as Marcel Mandu. ,neg
 Kevin Spacey is very talented but unfortunately directing is not his forte. I had high expectations about the film before I rented it and maybe that is why I disliked it so much. I admire Spacey's attempt at making a film that takes place mostly in one small setting but it's not the attempt that counts. I found the film dull boring and stretched out. The acting was nothing spectacular. Gary Sinise has done much better especially since he is conscious in most of his other films. Skeet Ulrich was disappointing but this was one of his first films (I did get a kick out of how young and chubby this Scream star looked). The only thing that impressed me about this film was the one shot of the car wreck from above. The center line of the road was perfectly centered and the camera moved on along the line and past the wreck. However that shot was very Usual Suspects ish and my guess is Spacey got the idea from that earlier film of his (which is very good mind you). If you want to see a fabulous film that takes place in one small setting watch Hitchcock's Lifeboat. Maybe Spacey should have watched it before filming this. ,neg
