text,class
" i bought this because i have fine hair that needs to be washed every day and i get tired of washing it. i thought i could use this every other day and get by. however it doesn't make your hair look freshly washed; it is just ok. it takes bed head hair and makes it look acceptable for a little while. after a couple of hours though my hair looks oily and stringy again. i use it before i take the kids to school and it gets me thru the morning. then i end up washing my hair later ",negative
" i like jonathan anton & some of his products but this one was a very bad one. it smelled like swamp water. his other products smell great. i don't know what happened to this one. ",negative
" i bought this because a friend had it and it smelled wonderfully of roses. there must be a quality control problem. my bottle had no noticible pleasant sent and therefore did nothing to freshen my hair. i was only trying to go 1 day without washing. what a disappointing product and a waste of my money. : ",negative
" after using this product i felt less than fresh. then i realized that it is only for use on the hair and skin on your head. i would have been better off using a can of evain spray and gotten the same effect at less money ",negative
" i was again disappointed as this did not make me feel fresh. in fact if you mix it with the dirt in your hair it causes some type of nasty reaction and your hair becomes sticky and gooey - nothing fresh about it. ",negative
" i saw jonathan on qvc and was really impressed with the claim that the moisturizing conditioner was great for dry/damaged hair. he also said that his products don't strip the color out of hair like some of the brands on the market. i color and highlight my hair and wanted something that would protect it. what a disapointment. the conditioner bottle is horrible at dispensing even a small amount of conditioner. i had to remove the lid. then it's like paste...doesn't seem to go through the hair..even after 3 minutes. when i tried to comb my hair out it was like a birds nest. i had to put a spray leave in conditioner by another line in my hair just to comb through it. i ordered it from qvc...and it's going back ",negative
" jonathan conditioner is as good as a cheap drug store conditioner. jonathan you can only fool people into buying one bottle of the cheap stuff you can't fool them twice. i know we will all be seeing jonathan product on the clearence rack in a big lots with in a year or two ",negative
" i was very unhappy with the product! i was given the shampoo for christmas which when washing my hair made little to no suds. when trying to comb out my hair after shampooing it was like a bees nest and i couldn't possibly get a comb thru it. thats when i ordered the conditioner which was like cake batter and couldn't get it to come out of the container with really queezing it which made the lettering come off on to your hands and i found some in my hair. i squeeze and bang until i finally get a big lump coming out. i had watched all of jonathan's reality shows when he was working on creating his products and couldn't wait to try them because they are all natural. i am so disappointed! i recently saw his show back tv where someone calls him up and says they tried his product and how happy they were and jonathan gets all chocked up. i was screaming at the tv i was so upset. the product was not cheap and can't believe i can't use something i spent so much money on. ",negative
" on a scale of 1 to 5 the packaging gets a negative 1. you can't sqeeze the conditioner out of the bottle ended up removing top. for value of product jonathan gets a 1. for quality of product 3. the conditioner feels like vegetable shortening or softened butter. need to use more than average. the conditioner is average in detangling and after using it four times it does condition your hair but no better than other quality brands. i do like that it seems to cut down on the drying time but bed head has a similar product that's been out for a while. for that option i would rather choose bed head for quality and price ",negative
" jonathan should spent more time with scott from zorbitt because the packaging is second rate. the product itself was subpar also ",negative
" used along with shampoo theory my hair turned out worse than it ever had. not recommended at least for medium/wavy hair. no frizz control ",negative
" unless you have a new softball glove to break in this product is not for you. way way too much oil. just nappy. i might as well have put mayo in my hair. ",negative
" i had high hopes for this stuff. i have watched blow out and know that he knows his stuff when it comes to hair but i cant seem to get this stuff to actually do anything for my curls and waves. i have tried it on wet hair damp hair dry hair-no discernable difference. i will stick to my frederic fekkai products-they actually work ",negative
" i spent a lot of money on this product & waited with anticipation for it to arrive. when i applied it it did nothing to create curl and didn't even define the curls that i already had. my hair was limp and frizzy by days end. it smelled nice & that's about it. cheap-o suave gel or mousse works better and creating and holding curl ",negative
" this hairspray was too wet and too stiff. it ruined my clean freshly washed hair and made my blonde locks stiff and darker - yuck!!!! i love the voluminizing shampoo & conditioner as well as the voluminizing foam - but when i lightly sprayed the finishing hair spray- it ruined everything. i will stick to an areosol hairspray instread of a pump. sorry jonathan : ",negative
" if you buy this shampoo buy something else with it to get this glue out of your hair. i guarantee you will be disappointed it is the equivalent of herbal essence. (also leaves your hair like glue ",negative
" this shampoo made my hair flat and dry when i used it every day.soi tried using another shampoo and used jonathan's once a week.the one day i used jonathan shampoo my hair was noticably flat and dull.i ended up throwing it in the trash and went back to my old shampoo.what a disappointment ",negative
" run as fast as you can... do not try! okay so i bought in to the hype of blow out. once i saw the jonathan product line on the shelf i thought hmmm how yummy! boy was i disappointed. the moisturizing shampoo was anything but! the product felt like a mixture of tree sap and glue. once applied to the hair i felt knots forming. upon rinsing my hair like it had been stripped! i used lots of the companion conditioner hoping for a balancing act but was left aghast when i rinsed and felt the new texture of my hair. i couldn't comb it out with a wide tooth comb until i applied a leave in conditioner from another product line! once dry my hair felt gritty brittle and generally nasty. i'm taking this stuff back and demanding a refund! i'm going back to my frederick fekkai products immediately ",negative
" watching the show i thought that jonathan really cared about hair and its no doubt that he does still but his shampoo leaves alot to be desired. for example even in the hot very humid atmosphere of houston tx it left my hair feeling dry and unhealthy even after using his conditioner (alot of it). my hair looks awful after using it. and the bottle claims that it doesn't use toxic ingredients like mea but it does use three different types of peg a petroleum based thicker found in most bath products that can erode wooden tables in just minutes. this is just as harmful as mea especially for people with sensitive scalps and hair. and it claims not to strip your hair but the products that are supposed to cleanse are much less apparent in the product than the peg products. since peg is a thickener you're also getting a diluted toxic solution. even though head and shoulders uses mea i find that that even that works better than this. my hair doesn't feel like it has any more of its essential oils and i've switched back to the other hair products iv'e been using. it's not worth your 20 dollars its barely worth 5 dollars. my hair stylist also recommended dove products if you need hydration. don't buy it! ",negative
" i used a sample and liked the fact that it cleaned my hair the way i want my hair cleaned. not washed with useless lather and coated with all kind of smoothening silicon products. people have beconme so used to the mass produced garbage that is sold in gorcery stores that they do not realize they are paying for detergent. in the long run it is damaging for the hair and after some hours it really does not have that nice clean bounce that hair is supposed to have. jonathan is not the only good product out there. i have been using phyto shampoo from france and kiehl's both don't have the silicon smoothers either and yes the hair does feel like straw right after you wash it. get a big tooth comb and some guts and go through life with really clean hair!!!! i used my sample and will buy a big bottle of the shampoo. i have not tried the conditioner but will try it too. ",negative
" is this shampoo or sap?? what exactly is it supposed to do?? i received a sample of this shampoo and i am ever so glad i got to try it free before i actually spent money on it. not only did my hair feel like straw as mentioned by other reviewers but it was so heavy i couldn't do anything except rewash it with my regular shampoo. i'll save this one for halloween. ",negative
" i see several previous reviews that acknowledge the fact that this shampoo leaves your hair feeling like straw yet say that is because this shampoo leaves your hair so clean! are you kidding me? if having clean hair means having my hair feel like straw and it does literally feel like straw then i'll happily return to having dirty hair...seriously i've had smoother softer hair from drugstore shampoos that cost .99 than this 20 dollar shampoo and conditioner! i could not even run a comb through my hair while it was wet because this product left my hair feeling so rough! i have rather dry hair and i merely tried this product on a lark just to see if it was any good because i am a fan of jonathan and his show so i will return to my drugstore shampoo dove and pantene which have always worked well for my dry hair. ",negative
" okay i'll admit. i bought into the hype. oooo no sulfates... oooo essential water.... oooo all natural - no animals sacrificed in the making or testing of this - vegan shampoo and conditioner... i headed into the shower with confidence that i had finally dumped $35 on a shampoo and conditioner set that would make a difference to my fine straight hair. and what a difference it made...the volume created by the products was all flyaway hair: styled by the static electricity generated by my hair being devoided of any moisture that it once held by this lovely dessicant shampoo. and no amount of the so-called conditioner helped to right the wrong! i tried various amounts of conditioner and left it on for longer and longer periods of time without any change in results. after 3 days of feeling the wicked witch of the west was having better hair days than i was i returned the product. this product truly deserves 0 stars!! ",negative
" i was excited to purchase jonathan product after watching two seasons of blow out. unfortunately i was really disappointed after using this conditioner on my hair. my hair is very thick and after using this conditioner it left my hair a sticky and tangled mess. unfortunately the fragrance of the conditioner is great but that's about it ",negative
