text,class
" this book has its good points. if anything it helps you put into words what you want from a supervisor but it is not very accurate. the online test does not account for a difference between when 2 of their options are both exactly like you or if they don't describe you at all. this messes up the results and it did not describe me very well. i am not just in denial. i have taken a lot of personality type tests like the keirsey temperment sorter and have a pretty good idea of my strengths. so although this book is pretty good in making you understand the importance of incouraging your strengths it still leaves you wondering about how you fit in to their terminology. as for using this book as a manager to better serve your employees i'v seen it done and it does not necessarily work because the strengths spit out for people were not wholly accurate. the company i work for has done this and most of the people who were shifted around to better serve their strengths (according to this book) are very unhappy in their new positions. your money can be spent better elsewhere. i say its only worth about $10 ",negative
" the fatalistic view of conservativism is expressed by kirk even before the first chapter concludes as he states [edmund] burke could he see our century never would concede that a consumption-society so near suicide is the end for which providence has prepared man. but wait. the conservative mind was first published in 1953 the mythical golden age of america with ward and june cleaver and normal rockwell. meanwhile burke a contemporary of the 18th century is pining for the 14th century. what a depressing ideology to think that we always live in the worst of times. there are certain ideological threads that carry throughout the book including a belief in the stratification of society. voting should be the privilege of a small minority rather than universal democracy which kirk saw as contributing to a degradation of society. kirk writes what men really are seeking or ought to seek is not the right to govern themselves but the right to be governed well but what he offers is a lack of true representation. the author pines for the days of the aristocrat and although he defines the elites by wealth intellect and lineage he clearly includes race and gender. is it so surprising that kirk lauds some of the worst racists in american history like nathanial bedford forrest whom he describes as `magnificent' before quoting his racist vitriol? in a particularly galling move he referrers to pro-slavery advocate john c. calhoun as a `defender of minorities' and praises john randolph for among other things opposing doctrines of racial equality. kirk goes on about calhoun's support for states rights but his support only extended to southern states as he supported the fugitive slave act which forced federal officials and law officials in northern states to return runaway slave under penalty of $1000 fine. he supported laws that would make it illegal for northerners to even protest slavery. for calhoun states rights were nothing more than a self serving attempt to keep slavery safe. kirk shows his own racist stripes when he refers to northern `anti-slavery agitation' and supports calhoun for choosing racial preservation over liberty although calhoun has an extremely warped view of liberty. one wonders if kirk could even fathom the supreme irony in stating the calhoun mounted a `strong protest against domination by class or region'. another thread is his desire to see the reunification of church and state. the duty of the church is to keep the unclean masses in line. quoting samuel coleridge the author makes it clear that the truth or falsity of the church is irrelevant; it is an institution that must be preserved as the primary means of social control. sounding like the inspiration for disgraced chief justice roy moore russell kirk urges that state and church ought never to be separate entities true religion is not merely an expression of national spirit; it rises far superior to earthly law being indeed the source of all law. kirk sees a difference between the faulty laws of man and the laws of god but never draws a distinction. i have to wonder if like the modern reconstructionist kirk wanted to see the laws of leviticus imposed including executing homosexuals and blasphemers. he never explains how one might recognize a law of god besides using prejudice. the third thread would be kirk's anti-intellectual (or perhaps pro-stupid) stance. he refers to human reason as `puny' and `impotent' and claims that we find the mind of god in prejudice and tradition. `prejudice' he writes `is of ready application in the emergency; it previously engages the mind in a steady course of wisdom and virtue and does not leave the man hesitating in the moment of decision skeptical puzzled and unresolved'. actually what he is advocating is for the general population to turn over rational thought to the church and those higher up the social chain. citizens are encouraged to exhibit awe and veneration for god and those in higher stations and authority. in order to grab the golden fleece of populism conservatives have lately had to abandon overt stratification although veneration of wealth is certainly still evident. like calhoun the support for states rights remains a complete faade. i found russell kirk's salesmanship of conservativism generally repellent but recommend the book because it remains a fairly enlightening view of an ideology that continues to thrive to this day. ",negative
" i was intrigued by the title which supposedly links jedi wisdom to christianity. well after 60 pages or so i have got the feeling that the staub is trying to wrap jedi in christian cloth and failing at that. the author speaks of the difficulty in leading a christian life. but i say that any religious life (be it christian islam or otherwise) is hard because it turns the back on the norm or the conventional. i am convinced that yoda is a zen master; the force is derived from tao not god as interpreted by the orthodox religion(i am purposefully leaving out christian mysticism which is another beast altogether.). a better book on the subject of theology in star wars is the dharma of star wars. ",negative
" i admit i haven't finished this book. a friend recommended it to me as i have been having problems with insomnia. i was interested in reading a book about women's health issues and this one sounded intriguing until she started in with her tarot cards interest in astrology and angels. granted i am not a firm believer in just the hard facts but its really hard to believe anything this woman writes after it is clear that common sense isn't alternative enough for her! ",negative
" i tried reading this book but found it so turgid and poorly written that i put it down in frustration. it reads like a translation from another language by an academic bureacrat. the theme is interesting the execution poor. cannot recommend ",negative
" why is it ever time you want something bad enough it usually turns out bad? after the wonderful quinn trilogy fans (including me) begged and begged for nora roberts to write seth's story. after all we journeyed with seth through we wanted to see him fall in love. nora roberts repeatedly said she would not write one. but us fans kept on begging for it and were excited when she finally gave in and wrote it. and we got chesapeake blue. reading it you know you should be grateful because you wanted seth's story but....this wasn't what i (and my fellow nr fans friends) wanted. first of all i wanted the heroine to be aubrey. after their beautiful friendship in the quinn trilogy i expected her to be seth's love interest. but i tried to keep an open mind after all i loved anna grace and sybill but dru whitcomb banks was a completely let down. all she did was whine and complain about her life which were minor compared to what cam ethan philip and seth experienced as children. seth becoming an artist was a surprise too i expected him to join the family business and design boats. the gloria blackmailing him was a very thin and bad plotline. there's no reason gloria would want to contact him considering all the warrents for her and that seth wouldn't tell his family considering the quinn brothers (and wives)worked their so hard to keep him away from her. i closed this book vowing never to request beg or petition an author to write a book when they say they don't want to. because this is what you get ",negative
" noam chomsky has thrived greatly in this great country of his yours and mine - the united states of america. he has made millions of dollars teaching lecturing selling his books and investing. his world-wide fame in psycholinguistics is well-deserved. his infamy is merited for his lack of loyalty to his own jewish ethnicity and the u.s. in spite of the fruits he has received by being a citizen of the united states. he has repaid this country in bile with his incredibly biased analysis of american foreign policy. he goes way beyond a balanced multiculturism when he always ranks the u.s. and israel as foremost among the terrorist forces in the world now and even in history. his distrust of any authority benign or otherwise is reflected in his dogmatic and unexamined support of the underdog even if that underdog is a suicide bomber or a major terrorist organization such as al queda or hezbollah. yet since 1955 hypocrite chomsky has worked for the overdog massachusetts institute of technology which has actively and enthusiastically participated in the development of weapons of war and mass destruction and continues to this very day. chomsky trumps his own potential for gifted analytic objectivity with his simple hatred of the united states and the jewish state. if he were not so attached to the freedom of making money earning the adulation of the american left and freedom to express himself he might be able to give more direct and personal support for our enemies and his friends by taking up residence in north korea iran or syria. let us hope he retires outside of our homeland that he hates so much the united states of america. god bless america which will continue to give chomsky the right to speak teach and make lots of money. raybo ",negative
" i have been a fan of sue henry since her first jessie arnold mystery. i was looking forward to reading her lastest adventure but was very disappointed in this outing. the characters were one-dimensional. after discovering who the bad guys were i needed to reread part of the book for clarification. sue henry has a very annoying habit of foreshadowing at the end of many of her chapters. ...they hadn't a notion just how decidedly things could - and would - change in the next few hours. even the relationship between alex and jessie seemed stilted. i realize it is difficult to create plausible mysteries for a civilian like musher jessie arnold but this book tried too hard and accomplished too little ",negative
" heinlein loads this book up with hooks in the early pages to catch your attention. unfortunately these hooks turn out to be superfluous and lead nowhere. this shoddy technique is found in all four of hienlein's final books. we are also treated to some of heinlein's stock characters dirty old men horny female computers naked adolescent girls and dominant beauties who would be right at home in leather and whips. without these archetype characters most heinlein novels written after 1970 would have a sparse population indeed. as if this isn't enough heinlein drags in his usual cast of characters from his other novels as he is so prone to doing. in spite of all their cameo appearances this group remains dull and one dimensional throughout. heinlein's earlier novels written prior to 1960 are still fine fare for young people especially boys. this novel as well as most of heinlein's later work will be enjoyed primarily by a group of die hard fans and is definitely not for general consumption ",negative
" i hope the ending is illogical at least and is fiction. if thoughts are that powerful they need to be resrained earlier. i don't know who survivied but he might feel very guilty about the others earlier and question if he had to survive. logic can be quite painful when left alone but sometimes it has to be ",negative
