text,class
" well of course i read the previous reviews regarding amazon shipping the grey-market version of this timer and figured that certainly by now they were shipping a us version... wrong! i just received mine today and it's got the international warranty card and users manual. i haven't decided if i'm going to return it or not but figured that anyone else considering ordering this item should be advised that it appears that amazon is only shipping the grey-market version of this unit ",negative
" bought these for my nikon d200 about 3 months ago. never having used tiffen before i took a chance on a recommendation. vignetting can be an issue for polarizing filters and the vignetting on this one is the worse i've seen. build quality of all the filters is really not very good. going to go back to hoya's which are much better ",negative
" im not from usa. my brother bought me the camara in a trip three months ago and it is not working!! it has serious conection problems in the body that i cant fix in my country. i lost 1000 us ",negative
" i received the remote this evening and have not been able to get the remote to work with my canon rebel xt camera. followed the directions that were furnished with the remote to no avail. it appears that this remote is defective ",negative
" i am not impressed with tiffen filters i got in this set. the finish of the rings are poor. despite of previously poor reputaion i recently purchased some 67mm quantaray filter from the local ritz camera store which are of much better quality compared to this set of tiffen filters. i never got tiffens before had good experience with hoyas. i will probably stay with those from now on. now come to think of it ritz camera indicated the quantaray they had were made by hoya. the glass on all the filters are quite a bit more reflective compared to the hoyas and the quantarays. not a good sign. the circular polarizer had some smudges and some lense swirl that after 10 sheets of lense tissue and quite a bit of cleaning solution failed to be fully cleared off. quite frustrating. all of the filters came with lint and a few little smudges on them not sure if the store handling or the manufacturer handling was to blame but none of the other filters i got before had this kind of problem right out of the box. the set might be cheap but it sure is for a good reason ",negative
" this bag is very small. my canon 20d fits nicely with a small lens but you cannot fit more than one lens with the camera body. we kept the bag for informal use when we only need the body and one lens to avoid always having to carry a bulky bag ",negative
" the bag is suppose to hold two camerasi have a rebel and two lens and cant fit them in with lens filters and extra batteries. i recomend you buy a bigger bag it does not meet the billing here. might be good for a couple of point and shoot cameras but not sl ",negative
" i was all set to purchase this bag but wanted to try it out first. i had great difficulty finding one locally but finally after many many phone calls i located one bag and asked the merchant to hold it till i could get there to try it out. firstly the bag is nice but doesn't hold as much as i thought. it still could have worked for my but for one thing: this bag is not designed for those with a er.....womanly build. it was the most uncomfortable bag i have ever tried out and looked absolutely ridiculous on me. so glad i was able to take it for a test drive before purchasing online. just a word of warning to the ladies;- ",negative
" i paid extra for air next day service. item was advertised as available and ready to ship immediately. item eventually arrived two weeks later. i had left for a trip. item was eventually sent back to merchant. merchant didn't credit me for item returned. i had to email merchant and wait for another 2 weeks before item was credited. i won't buy from willoughby's again ",negative
" they sent me wrong lens cover and said i ordered the wrong one..........don't think so since i got copy.......poor customer service all around..... ",negative
