text,class
" the darn thing broke almost immediately. when i tried to switch gel covers (it comes with 3 different sizes) the entire earpiece came off in my hands! what a flimsy piece of crap. i just sent it back to amazon. i'm never buying a jabra product again ",negative
" i bought this for $30 from best buy. what a waste of money! the ear gels are comfortable at first but after an hour or so your ear starts to really hurt from it. the sound quality is terrible! people i am talking to sound very muddled and overly loud even on the lowest volume setting on my motorola v300. what is worse people i am talking to hear me very poorly. they say there is so much background noise it sounds like i am in a noisy bar even when i'm just sitting in my car. people can barely hear me over the background noise racket ",negative
" beware! the product features for this product specified a call answer and end button on the headset. the device i received did not have that feature. i selected this model because of the advertised feature. amazon.com's description was erroneous and misleading. i returned the item and was charged for the return shipping. i emailed them notifying them that it was their fault for falsely advertising a feature that was not part of the product. they ignored my email. in the online return process there's no option that states the return was a result of amazon.com's fault. basically they falsely advertise so that you buy the product and when you discover it's not the right one you're screwed. i now understand all those complaints i've read about amazon.com. i'll take the loss this time but i won't repeat my mistake and order from them again. buyer beware! this review is not so much about the product as it is about amazon.com's false description of the product. i couldn't use the product so sorry i couldn't give a review about it ",negative
" i purchased this item for use while driving my car in oct of 2005 for $29.00 without tax. i was told it would work for the lg phones which is what i have i see now you can no longer find these for sale and gee i wonder why... i probable used this item a total of 8 times when i drove my manual transmission car i didnt really use it while driving my truck which was automatic. the jabra now does not work...and after only 8 uses a friend of mine also bought one and his lasted about 6 months as well. while using it the phone cuts out and the caller can not hear you at the other end and you have to constantly pull the plug and stick it back in after a while you just give up cause it doesnt work. i emailed the company several times at info@jabra.com but have not tried to call them yet and had no results with the emails. i have a feeling i lose anyways with this purchase. the thing is not worth the money and does not seem to last long and is not made for lg cell phones iknow the one i got with the phone stinks due to the fit but al least it was free and still works top notch. to bad this was a comfortable ear piece but very short lived. do not purchase this even for the 4.99 prices you may find it for on ebay ",negative
" junk. junk. junk. mine lasted for only three weeks then one day stopped working ",negative
" i went through 2 of these in as many months - the sound quality was very spotty and the mic would intermittently quit working. people regularly had a hard time understanding me when the mic was working and the voice recognition on my cell phone couldn't even distinguish between 'yes' and 'no.' ",negative
" design is great and very comfortable but sound quality is poor - people on the other side of the conversation constantly claim that sound/ mic is not clear or muffled. find an alternate hands free- piece ",negative
" i owned two of these earbooms. the fit was comfortable and the sound very good. however after a month or two of use both sets cracked the plastic where the boom enters the ear piece. i imagine this came from adjusting the boom position which put strain on the plastic. the plastic used for this is not strong enough to take the stress ",negative
" i have no problems with how the unit feels and fits into my ear -- it's unobtrusive and light. however i constantly get complaints from whoever i'm talking to on the phone that my voice is too quiet. i have to speak up louder than normal and cup my hand around the back of the microphone in order to produce an acceptable volume which kind of defeats the purpose of the headset. the problem seems to be that the boom is too short leaving the microphone too far from and to the side of the mouth ",negative
" the gel inserts on the jabra is quite uncomfortable at least for me. it's a bit hard to make the earbud stay in my ear and forget about jogging wearing this. also the insert comes off very easily and if a friend wants to borrow it and has different size of ears you need to find the other sizes of the insert. sound quality is mediocre as callees often complain about wind noise from my end. i'm not happy with these ",negative
" apparently you need to &quot;know&quot; your technical specs -- universal does not mean nokia so after getting the product and on the packaging reading clearly there that it doesn't work with nokia i get the expense of sending it back. this should be on the technical specs which are crap on this site ",negative
