text,class
" first off i cannot believe how mad this game has made me. i like all kinds of games but honestly trying to figure out some of the levels in this game left me stumped. it's one thing to be stuck somewhere and have to retry a lot but several times during this game i was stuck in an area and had no idea where to do/what to do etc... even after i killed all the bad guys i didn't know how to get out of the room. this game is not intuitive (sp?) at all! secondly this game should not be called the incredibles it should be called mr. incredible because you play as him almost all the time. playing as elasta-girl is great i really enjoyed that part but when there are a lot of baddies with guns mr. incredible is a pain since he has no way to block anything so you spend a lot of time getting pushed back until the bad guys reload. i liked the first mission as dash (when you play as dash which is only twice) you have to run fast; however the second mission i just lost my patience because i had to restart about a million times because i couldn't see what was ahead of me. playing a violet was bad they should have done a lot more with her instead of a boring stealth mission. the incredi-ball mission incredibi-sucked it took me like an hour to hit something because it was in a difficult place. i'm just finishing up the game now and quite frankly i haven;'t enjoyed a lot of it which is a shame because i really loved the movie. some of the levels are too hard because you can barely find the way to do something and mr. incredible needs to do more than punch people. currently i'm on the rocket silo level and i keep falling down trying to get onto a platform. what a load of fun that is to do 100 times or more. bottom line: playing as elasta-girl was fun everything else was either blah or made me want to swear a lot. hopefully the second game will be better. i'll be renting that instead of buying this game left me disappointed overall ",negative
" shouldn't you people know by now?say it with me:never buy movie games.a friend of mine bought it and it was horrible.it was way too easy to die inetcetcetc.hey listen.keep you money.your investment isn't in here ",negative
" i bought the kr party bundle for my boyfriend's daughter for her birthday. she loves the game but it has only been about two weeks and the mic is dead. it started with the static for a while but then while i was singing it just died completely. i know i'm not a great singer but i'm not that bad ",negative
" i bought this mic in december and after only two nights of singing it completely died! what a complete disappointment. save your money! ",negative
" this game was originally released for 10 dollars. almost everything about it is pulled straight from diablo and is not quite as good. though this game has a few things about it that are interesting and can be enjoyable to some people i would just skip this game and go for diablo 2 ",negative
" this game is simply put not good. i got bored to tears playing it then ended up giving it away because it was robbing useful space on my desk. it is slow-paced predictable and not suspenseful at all. in fact these characteristics are probably why it's so mainstream even though it's laughable in comparison to real first-person shooters which by the way don't even belong on consoles. owning at this game means you are an average player. any true fps gamer knows what childish pathetic garbage this is while the rest just go with the hype. many have successfully deceived themselves into thinking it's worth anything at all. it isn't ",negative
" i used to love this game but there are so many better games out there plus this game is overated with a not so good storyline and nerdy weapons it's just not good ",negative
" the vertical stand is wonderfull... but why? you can do this with 2 useless dvd cases and some duck tape... i put my ps slim vertically and it helps but why waste the time buying the product? i bought it just for kicks... literally ",negative
" if you're looking to spend money on this don't. having spent my teen years holed up in my bedroom on a commodore 64 (and being the current fan that i am) i was really excited when i heard about this product. unfortunately it stinks. there are a couple of games on this contraption that are real gems the rest being mediocre at best. the overall bad choice of games isn't my issue with this thing though. it's the crummy joystick. control is horrible. the stick is clunky and unresponsive and makes playing a real chore. as someone else pointed out in their review often it doesn't even respond when pushed in a certain direction. i can't believe it's 2006 yet these companies releasing plug-n-play video game contraptions can't even make a decent joystick! a real letdown ",negative
" not as much fun as i remember. maybe better if they had a better selection of games (one on one hardball etc. ",negative
