text,class
" i have bought and returned three of these units now. each one has been defective and finally i just gave up on returning the system. the dvd player constantly gives bad disc errors and skips if there is even the slightest smudge on a disc. the sound quality is very nice for the price but since the player doesn't work it's essentially useless. this is a complete rip-off at any price point ",negative
" i used a 25 pack of these doing dvd backups and the last 5 or so failed. i thought it was my software so i got new software. guess what? my first disc out of the new package of 25 that i bought failed too. it's not my burner (as another reviewer suggested implying that people should learn to read) as it's brand new and doesn't require the firmware upgrade they mention. they just suck and have a high failure rate. so the consensus seems to be that tdk or sony are best. i'm buying some now and save myself the frustration ",negative
" i bought these discs at compusa because i needed a few before i got the ones i ordered online. well i just wated a good 25 bucks because out of 5 discs i got one that burned good. not much bang for the buck. i have burned many discs but never memorex usually verbatim or ridata or mam. very disgruntled with these discs making coasters. maybe my burners don't like them but whatever the case i won't buy them ever again. i thought memorex made good products ",negative
" the dvds i burned successfully showed the movies in excellent quality. the only problem is that for every 3 good burns i get one bad one. i'm using the plextor dvd burner (love it!!) but i'm going to try my luck with a different dvd brand. the failure rate for memorex is unacceptable. it's less the cost that bothers me but more the time wasted on burning coasters ",negative
" please don't expect to get the cash back from this purchase as promised! to date i've been denied twice. the second time they said the u p c number was invalid. only it's the original u p c barcode! i was meticulous filing the paperwork yet they state all required products were not submitted. meanwhile i have phoned amaz0n to lodge a formal complaint. the product itself is average. i've used better and worse. that said it's definitely not worth the full asking price ",negative
" no free lunch & you get what you pay for...is that the verdict on this product? well the poor rating given by those who have purchased this product has discouraged me from buying it. i need disc binders and the case logic brand while being the original is pricey. low cost alternatives are needed but not at the expense of quality and tco (total cost of ownership). but the flap about poor customer service (rebates) and poor quality (zippers and sleeve binding) is enough to give me pause..... so if someone from xtreme's management is paying attention....fix it or be content to lose business. price isn't everything to everyone in the markt for your product.. ",negative
" this card is such a disappointment. it is soooo sloooooow. i use it for my digital camera mp3 player and ipaq. it takes forever to copy anything to and from it ",negative
" bought this a month ago for use with my dx4330 kodak 3mp digital camera. it worked for 2 days.after that everytime i on the camera it wanted me to reformat the cardwth is that? now i can't use it at all.... i'm always so confidence with my previous purchases from amazon.one mistake i madei threw away the shipping and product packages once i tested out the card thought it worked and it would be ok.i can no longer return it now. needless to sayi'm too over confident with lexar's products. buyers beware... ",negative
" as the other reviewer found out these cards can't be formatted to work with sd audio. total waste of money ",negative
" i purchased dvd express and it never worked. i spent endless time with tech support. the old story about it must be your computer. did not fly either my machine is a media type and it far exceeds the system requirements advertised by ads. i exchanged the item and it was supposedly checked out before i got it. same problems. tech support told me i was the only person having trouble with this product. they need to check out a few websites that review products there are hundreds of bad reviews very few good ones. my only mistake was not reading them before i wasted my time and money. ads also told me it would not work with ulead's movie factory 3 some of the software it came bundled with but that was uleads problem. i should use cap wiz ( their program ) duh!!! guess what it did not work with their program either. ulead said they had several complaints with ads's product. their final solution hold on to the product and maybe they will have a new version of cap wiz and that might work. save yourself time money and aggravation buy another product! p.s. since ads doesn't consider the product defective they will not refund your money or allow you trade it in for an upgrade. i don't think they want a product like that either. the only reason i gave one star is.....it was packed well. ju ",negative
" when i purchased these batteries i was very pleased but that wore off after a couple of months. i don't use my camera all that often but when i do i expect ther batteries to have some charge. i recharge them per instructions and they do not hold a charge any longer.i know monster makes good products but i am a little disappointed in this one ",negative
" you can get a 4 pack of emerging power 2100 mah batteries for 9.95 on this very site. i did. they work great. why would anyone pay almost 30 bucks just for the batteries. ridiculous ",negative
" i wish i never bought this because it was not sturdy enough for textbooks. if you put a textbook on it and turn the page it collapses and or tears the page. i wouldn't even use this for a notebook. ",negative
" we bought this clock radio got it home set it up realized that it didn't have battery back up called sony only to find out that they do not find it necessary to put that feature on their alarm clocks....how bizarre!! they do not carry battery back up on any of their new models according to their representative at the customer service center! boxed it up and it's going right back where it came from. if it's okay not to have battery back up it might deserve a chance however what's the use in having an alarm clock if you can't trust that it will indeed wake you up ",negative
" bought new around $80. cd player and lcd clock stopped working within 6 months--now nap function and radio are all that works--if only i could find the damn receipt!!! ",negative
" in the ten minutes since i've had it out of the box two pieces have fallen off. more importantly it can't handle large manuals as advertised. (the reason i purchased this particular book holder) my 1000 page manual only fits if you happen to only want to read the middle chapter. based on that i estimate that this is a totally worthless product to anyone needing to go through a manual or training book more than five or six hundred pages. if you don't anticipate needing it for a book that big then just glue the rubber feet on keep an eye on the page retainers (these are the parts that fell off) and you should be ok. as for me i'm off to read amazon's return policy and see if i can get rid of this useless hunk of plastic ",negative
" this is the worst thing i have ever owned!!!! it broke (said there were no cd's inside) after about a week! do yourself a favor don't get this product don't buy this brand and don't buy from sears they sucked about the whole thing too ",negative
" before i bought this reader i considered 2 models 12-in-1: lexar and sandisk. i decided to buy lexar. i bought this reader to use mostly with memory stick. i have 2 cards: 128 mb and 1 gb. i had no problem with 128 mb card. but i could not insert my gig card into this reader. it just did not go. i tried hard trying not to break the card - no success. it was a surprise for me. may be because my card was made not by lexar - by sandisk...? i contacted lexar but did not get any explanation of this problem. any way i had to send it back and buy 12-in-1 sandisk reader. ",negative
" pros: perfect sound solved resampling issues cons: famous popping/crackling noises makes it useless for gaming especially in bf2 (which use openal by creative). crystallizer is useless. this card has the most advanced sound processor which does not work on at least 20% of high end systems not only nvidia nforce 4 chipset but also with other amd and intel cpu motherboards: see google for x-fi popping/crackling. even if you do not have in game crackling immediately you have a good chance to get it after any memory or hd upgrade or driver configuration change. for long time creative denied existence of this problem. eventually it was recognized (see official cl forums) and a new driver (since november 2005!) was promised at the end of may 2006 but beta version published 05/30/06 did not solve my problem. in the case of old audigy 2 zs the problem was solved with unofficial hacked drivers. i suspect that x-fi crackling is an architecture design flow which cannot be completely solved at software level because pci bus cannot provide sufficient memory access for the the fastest sound processor simultaneously with high end graphic card hd controller and other devices. bottom end: i have to stop playing games or go back to low quality integrated sound. do not take risk wait for working drivers or buy a working card from different manufacturer. with fixed drivers i would give this card 4 or 5 stars. update 06/12/2006 i found that many desktop motherboards (mb) have really slow south bridge (south bridge is connecting pci usb firewire and hd to cpu directly or through north bridge) especially mbs with nvidia chipsets (and even with some intel mbs). new beta x-fi driver and mb bios updates solved the problem in many cases (but not for my mb asrock k8nf4g-sata2 nvidia 6100 / 410 mcp chipset) but situation is still marginal and x-fi might go unstable again. i contact cl customer service they did not solved the problem but pointed out that ati chipsets (athlon 64 ati 200 or 3200) have no problems with x-fi. i decided not to return sb to seller but save it for a new computer with ati based mb. i guess that majority of workstation class mbs with upscale south bridge and pci-x (even nvidia based) also should be fine with x-fi. the trouble is that majority of x-fi buyers have generic nvidia based mbs like me. so i can give x-fi two stars instead of 1 (but i cannot change the rating) and even more stars if it will work well in my new computer of after new driver release (if it will work) ",negative
" about three years ago maybe four i bought two lexar cfii cards. one never worked the other worked but lost all data. i wrote to lexar that i had two bad cards they sent me one new card of the same size. i gave that to my girlfriend & told her to only use it on pix she didn't care about losing. i still have my card in a ziplock. none of the file removal programs will get the images off & i've used all of them & had their (file removal) tech help give up. in this day & age of just make the item i am upset. but you take your chances. do you want the only picture of your great grand-mother lost because you used a lexar? i wouldn't i use an actual sandisk card myself. if they ever (lexar) made it right i may have written a better review but they haven't. so that tells me that they don't care. how important are your pictures to you? frederic ",negative
" consider another receiver before buying delorme's. delorme's receiver works only with their software (the receiver does not conform to any standard unlike most other receivers.) the delorme software itself is not very accurate. just in looking at the area of a few blocks surronding my home i found 3 instances where a facility was shown as being located several blocks from where it actually is - but microsoft had no problem locating the facilities properly. finally with the receiver i have even after the device as been initialized delorme's software sometimes is unable to find it. (i suspect that is because the cable on the gps side sometimes pulls slightly out but fiddling with it doesn't seem to accomplish much). real irritating out on the road as it is when you find one of their printed atlas has been misbound and lacks several pages ",negative
