text,class
" the actual cheese is great if you can get them to ship to you. ordered items as gifts - took over a week to ship. for timely gifts you would be better off going around the corner. otherwise a great deal ",negative
" i was very disappointed. it has a definite after taste. i was surprised at the small container size. after tasting i was glad it was small. would i order it again? yuck! ",negative
" i expected something softer in texture but these are like chewing on rubber with flavor. much too hard for my 3 y/old child. if you're looking for something tasty & softer in texture try kasugai gummy candies ",negative
" after reading a number a positive reviews on the product i wanted to try it. i am glad i just went to my local whole foods supermarket instead of paying excessive ship/g costs when ordering online. basically i do not like it...don't like the taste or texture; i am not really bothered by the smell once it is rinsed. i eat tofu products regularly and i also eat pasta occasionally and would rather eat my whole wheat pasta 1-2x/mth than eat this tofu-noodle regularly. however everyone has different tastes. so if you want to try it get it from your local grocer (if they carry it) otherwise don't waste your money on ship/g ",negative
" this small package of noodles came to me in a huge box which i thought was a huge waste and completely unnessecary. and when i opened the box a small melted ice pack failed to keep the noodles cold so they were hot and smelled terrible. i had to throw them in the trash outside right away because of the smell and called gristedes and left an upset yet polite message. it has been almost a week and i have not heard from them. don't waste your money on this supposedly great deal. it's not worth it ",negative
" as a vegan i have tried just about every tofu product on the market and nothing ever came close to the terrible texture of these noodles. the smell when you opened the bag was not pleasant but if you wash them off and parboil that goes away but is replaced with a slightly sweet smell that i disliked almost as much. but i kept an open mind cooked the noodles for a few minutes added my favorite sauce and fresh ground pepper with some soy cheese grated on top. whoever said it was like eating rubber bands was exactly on target they are incredibly chewy and just don't taste that great either. even as a low calorie food it seems like a waste to spend 40 calories on these noodles. ",negative
" this was the most disgusting diet product i've tried. i love marshmallow dip and this wasn't even close to tasting like it. it has a chemical taste like you're eating spun plastic and makes you actually scared to eat it. why even bother eating it. i'll stick with fat free whipped topping -- at least it has flavor ",negative
" i like some of the other walden farms products -- i gave their chocolate dip 4 stars -- but this one is not very good. i tried dipping different kinds of fruit into it tried it in combination with the chocolate dip and finally gave up and threw the rest of it away. the cellulose gel walden farms uses to give its sauces body seems to have a slight spicy/sour bite to it; it doesn't bother me in the chocolate dip or in most of their dressings but here it ruins the flavor ",negative
" i absolutely would recommend avoiding this item. it has a vile aftertaste - even if you can stomach artificial sweetener this product's flavor is so blatantly unnatural. if you can get past the sweetener and the frightening list of ingredients the texture isn't particularly appealing what with the tiny granules floating throughout. i know this dessert sounds too good to be true and it is ",negative
" cellulose gel lactic acid sucralose titanium dioxide salt xanthan gum and potassium sorbate.....yum can't wait to get me some more titanium dioxide in me...how great does that sound! ",negative
" i was dying to get my hands on these after reading such wonderful endorsements. i had nothing but high hopes. i was totally open minded. i thought it seemed too good to be true (low cal no carb noodles!) but hey i'm an optimist. guess what? it is too good to be true! i read about washing them and drying them. i did. no problem. i added sauce. i put them in my mouth. the taste was not the problem it was the texture. it was seriously like chewing rubber bands. no noodle resemblence whatsoever. i honestly can't understand those who rave about these but hey to each his own ",negative
" these noodles have a terrible squidy texture and a wholly unpleasant smell. they cook strangely and taste odd ",negative
" i expected something softer in texture but these are like chewing on rubber with flavor. much too hard for my 3 y/old child. if you're looking for something tasty & softer in texture try kasugai gummy candies ",negative
" after reading a number a positive reviews on the product i wanted to try it. i am glad i just went to my local whole foods supermarket instead of paying excessive ship/g costs when ordering online. basically i do not like it...don't like the taste or texture; i am not really bothered by the smell once it is rinsed. i eat tofu products regularly and i also eat pasta occasionally and would rather eat my whole wheat pasta 1-2x/mth than eat this tofu-noodle regularly. however everyone has different tastes. so if you want to try it get it from your local grocer (if they carry it) otherwise don't waste your money on ship/g ",negative
" this small package of noodles came to me in a huge box which i thought was a huge waste and completely unnessecary. and when i opened the box a small melted ice pack failed to keep the noodles cold so they were hot and smelled terrible. i had to throw them in the trash outside right away because of the smell and called gristedes and left an upset yet polite message. it has been almost a week and i have not heard from them. don't waste your money on this supposedly great deal. it's not worth it ",negative
" as a vegan i have tried just about every tofu product on the market and nothing ever came close to the terrible texture of these noodles. the smell when you opened the bag was not pleasant but if you wash them off and parboil that goes away but is replaced with a slightly sweet smell that i disliked almost as much. but i kept an open mind cooked the noodles for a few minutes added my favorite sauce and fresh ground pepper with some soy cheese grated on top. whoever said it was like eating rubber bands was exactly on target they are incredibly chewy and just don't taste that great either. even as a low calorie food it seems like a waste to spend 40 calories on these noodles. ",negative
" the actual cheese is great if you can get them to ship to you. ordered items as gifts - took over a week to ship. for timely gifts you would be better off going around the corner. otherwise a great deal ",negative
" this was the most disgusting diet product i've tried. i love marshmallow dip and this wasn't even close to tasting like it. it has a chemical taste like you're eating spun plastic and makes you actually scared to eat it. why even bother eating it. i'll stick with fat free whipped topping -- at least it has flavor ",negative
" i like some of the other walden farms products -- i gave their chocolate dip 4 stars -- but this one is not very good. i tried dipping different kinds of fruit into it tried it in combination with the chocolate dip and finally gave up and threw the rest of it away. the cellulose gel walden farms uses to give its sauces body seems to have a slight spicy/sour bite to it; it doesn't bother me in the chocolate dip or in most of their dressings but here it ruins the flavor ",negative
" i absolutely would recommend avoiding this item. it has a vile aftertaste - even if you can stomach artificial sweetener this product's flavor is so blatantly unnatural. if you can get past the sweetener and the frightening list of ingredients the texture isn't particularly appealing what with the tiny granules floating throughout. i know this dessert sounds too good to be true and it is ",negative
" cellulose gel lactic acid sucralose titanium dioxide salt xanthan gum and potassium sorbate.....yum can't wait to get me some more titanium dioxide in me...how great does that sound! ",negative
" i was dying to get my hands on these after reading such wonderful endorsements. i had nothing but high hopes. i was totally open minded. i thought it seemed too good to be true (low cal no carb noodles!) but hey i'm an optimist. guess what? it is too good to be true! i read about washing them and drying them. i did. no problem. i added sauce. i put them in my mouth. the taste was not the problem it was the texture. it was seriously like chewing rubber bands. no noodle resemblence whatsoever. i honestly can't understand those who rave about these but hey to each his own ",negative
" these noodles have a terrible squidy texture and a wholly unpleasant smell. they cook strangely and taste odd ",negative
" i was very disappointed. it has a definite after taste. i was surprised at the small container size. after tasting i was glad it was small. would i order it again? yuck! ",negative
