text,class
" this product was so disappointing that i discarded the entire box after trying one bar. there are much better raw food bars on the market in terms of both nutrition and taste ",negative
" sickly weak queasy stomach after eating the bar for 4 hours or more. i havent felt so yuky and sickly in a long time. you cannot return these or any food items to amazon. the coconut was moist and tender yet no good flavor. taste smells of cheap food grade oil.the spirulina is too try and chalky too much dried spirulina in one bar.again bad taste no good alive flavor. spirulina and cashewcoconut agave nectar elisha @ elishachristian@earthlink.ne ",negative
" silly me! i assumed that these bars would taste like spirulina and cashews but the only ingredient you can taste in them or any of their other flavors is dates. if you really love dates go for it. otherwise forget it ",negative
" i agree with the person who said it's hard to chew and here is why. disect your slim jim length ways...there do you see the hair? it is (allegedly) all made of cow hair...gross! that is the beef part i guess. trans-fat (partially hydrogenated veg oil) and some really long word chemicals to make mechanically separated beef and chicken what looks like hair taste good? no thanks glad i did not buy 100! my dog really likes it but then again she eats other dog's p..p eewww!!! ",negative
" slim jims may taste ok but that's because they are so greasy. that's what helps the flavor. i can't figure out why anyone would like these as i can't seem to chew them to a point where i feel comfortable to swallow. it's like eating a really really tough piece of gristle meat. the amount of fat cholesterol etc is also higher than beef jerky. i'd rather eat beef jerky than this stuff. at least i can chew the beef jerky ",negative
" this product was so disappointing that i discarded the entire box after trying one bar. there are much better raw food bars on the market in terms of both nutrition and taste ",negative
" sickly weak queasy stomach after eating the bar for 4 hours or more. i havent felt so yuky and sickly in a long time. you cannot return these or any food items to amazon. the coconut was moist and tender yet no good flavor. taste smells of cheap food grade oil.the spirulina is too try and chalky too much dried spirulina in one bar.again bad taste no good alive flavor. spirulina and cashewcoconut agave nectar elisha @ elishachristian@earthlink.ne ",negative
" silly me! i assumed that these bars would taste like spirulina and cashews but the only ingredient you can taste in them or any of their other flavors is dates. if you really love dates go for it. otherwise forget it ",negative
" i agree with the person who said it's hard to chew and here is why. disect your slim jim length ways...there do you see the hair? it is (allegedly) all made of cow hair...gross! that is the beef part i guess. trans-fat (partially hydrogenated veg oil) and some really long word chemicals to make mechanically separated beef and chicken what looks like hair taste good? no thanks glad i did not buy 100! my dog really likes it but then again she eats other dog's p..p eewww!!! ",negative
" slim jims may taste ok but that's because they are so greasy. that's what helps the flavor. i can't figure out why anyone would like these as i can't seem to chew them to a point where i feel comfortable to swallow. it's like eating a really really tough piece of gristle meat. the amount of fat cholesterol etc is also higher than beef jerky. i'd rather eat beef jerky than this stuff. at least i can chew the beef jerky ",negative
" flavor is just passable. the cracker is too thick& have not found a topping that will soften it.. ",negative
" i had bought instant miso soup in the past and the taste was very similar with what you get at your usual sushi restaurant... so i ordered this one and... i shouldn't have ordered without trying because the taste is very strange... not pleasant... now we're stuck with 12x4 of something we don't like... hopefully someone else can avoid our mistake.. ",negative
