text,class
" i bought this watch for my husband but didn't take the time to read the description carefully. so it's my fault i had to send it back. he is in the army and leaving soon for iraq. i thought this sturdy watch would be a perfect gift. unfortunately it does not work if you're more than 2000 miles from colorado. if you are not going to leave the continental united states i suppose it would be a good watch ",negative
" i bought this watch for my husband but didn't take the time to read the description carefully. so it's my fault i had to send it back. he is in the army and leaving soon for iraq. i thought this sturdy watch would be a perfect gift. unfortunately it does not work if you're more than 2000 miles from colorado. if you are not going to leave the continental united states i suppose it would be a good watch ",negative
" these earrings were very uncomfortable. i'm not sure if it's actually the size of the post so much as the shape and angle--more like an angled bar than a round post. i don't have particularly sensitive ears although i generally don't wear large or heavy jewelry either. these earrings are on their way back to amazon. i also wasn't thrilled to see how much the price has varied. when i ordered--4/6/07--they were $34.99. some reviewers bought them for less yet the current price seems to be even more. caveat emptor ",negative
" these earrings are very pretty but the post is way too thick. they killed my ears and i had to return them. i would guess the post is at least 2.5 times as thick as a normal post and my ears did not like it!!! ",negative
" i was very disappointed in these earrings. they were only about the size of a nickel and for $50 i expected them to be as large as earrings i have found from several other merchants for the same price. if you are looking for average size hoops -- say the size of a quarter -- these are not the earrings for you. i can only imagine how tiny the $30 pair is ",negative
" my 5-year-old daughter was thrilled with her locket. it is really beautiful. we were both quite disappointed however when the locket itself broke...the loop that attaches to the bail completely came off. she is a normal kid but was not overly rough with the necklace. it is currently at the jeweler's to be fixed ",negative
" we bought this locket for my daughter and had it personalized with her initials on one side and the year on the other. this is such a small locket that it will be very hard to put a picture in it. also the locket is very very hard to open. the top of the heart wasn't closed all the way so the locket kept falling off the chain we had to have it fixed. now it stays together my daughter loves it and wears it every day but i would have bought a different locket if i had realized how small this is and that we would have to do some repairs on it before it could be worn ",negative
" the locket on this cable chain is so tiny you will not be able to put a picture in it. after opening the box and being completely disappointed i opened the locket to see how it worked. it would not close properly after opening. the quality of this necklace is not good - do not waste your money. ",negative
" these were nice earings which i received as a gift off my wish list. but after i wore them about 3 or 4 times one of them fell out and is now lost. the post does not stay in place very well. i am frustrated because i put these on my wish list because they are advertised as having an innovative clasp which avoids lost earings. but they did not work well for me. by the way after i first wrote this review i called amazon to complain. they sent me another pair right away at no charge. this suggests to me that others have complained in the past. i appreciate that they were so responive. ",negative
" i ordered this watch and i got a woman's watch. the model number was the same. i don't know if there was a mix up but what i got was definitely not a men's watch. luckily amazon has a great return policy ",negative
" this is way too small for a men's watch both the face and the band -- the band wouldn't even go around my wrist. i think this must be a women's watch mislabled. nice looking but i sure can't use it -- i'm going to have to return it ",negative
" i bought this tool after reading all of the glowing reviews. i thought this would be a good way to save money by sizing my watches rather than paying $10 each time to have a professional do it. i was so disappointed in this tool. the link remover only pushes the pins out halfway. you are instructed to take a pair of tweazers to pull the pin out the rest of the way. as you can imagine this is not easy. my husband ended up scratching my watch as he struggled to pull the pins out. knowing what i know now i would definitely have invested in a different link remover ",negative
" the product pretty much snapped in half while i was trying to remove two links from one watch. the other one i tried before this one didn't fit in the adjustment piece at all. so with that said do not buy this product at all. it's very poorly made and terribly annoying to use. instructions are very unclear. i ended up throwing it away and going to a watch shop to get it fixed ",negative
" this supposedly new item looked like it had been either used a few times or someone had left it out in the rain. it arrived with the one-page instruction sheet wrapped around the plastic tool. the silver knob that you can see on the left side of this tool was rusted and would not turn very easily. i'm not sure how this tool is effective in removing stubborn watch band pins. maybe this tool is effective in only removing pins from cheaply manufactured watches - much like this item. when i attempted to use it the entire plastic body would flex and i was afraid that it would snap if i twisted the knob any further. not worth the sale price that it was advertised. the most effective way of using it was to remove the knob and pin from the apparatus and gently tap the end with a hammer in order to loosen the pins. this is definitely not worth the sale price ",negative
" i had loved it at first but i am one to leave a necklace on forever. it started to get all kinked up and i couldn't figure out how to straighten it out. but the company did offer me a discount on a different chain even though it was past their 30 day policy. nice for once in a while wearing and be careful when handling it ",negative
" this ring had such great ratings after visiting it often i finally bought it as a gift. when i saw it in person i was not impressed. it does look like the picture but it also looks cheap. i do realize it costs cheap i just wasn't impressed. it did arrive very quickly though ",negative
" this was a cute locket but far too small to put any sort of a photo in it . the only use it would serve would be a charm never to be opened. not worth the price ",negative
