text,class
" i've been through four of these expensive units. they work great on my great pyrenees dog. at least they work for awhile. then i end up trying to figure out if the batteries are dead then if the new batteries i put in were dead to begin with and then i send it back for repair. once i got back a unit that worked again - for awhile. then i got back a unit that never worked again.i stopped sending in my broken units after that. so - in desperation and impending poverty i switched to a shock collar; it was either that or what my breeder calls a blue juice special. it also worked - and yes i tried it on myself and decided that it wasn't cruel at all. but the punchline is this: the shock collars broke at about the same rate as the citronella collar. at least they were cheaper so i didn't lose as much money ",negative
" sometimes it sprays when she barks most of the time it doesn't. so i would say its effectiveness has been rather low. it's not the battery or the fill level - maybe it just depends on the dog. i can bark into it myself and it sprays just fine. (my children found this amusing. ",negative
" light is beautiful and functional and so great for traveling but first led light failed almost immediately and second after about 2 months. too bad. ",negative
" not only did this product have no effect on the manic barking of our own dogs but the company also refused to provide a refund/replacement after the product arrived with a broken chunk out of the cheap plastic casing. after sitting out in a rainstorm the super bark stop shorted out and is now totally worthless. find another product - you'll thank me later ",negative
" clock is smaller than i thought and is only intended to take up about a square foot of wall. made of cheap materials definitely not worth $25 ",negative
" i set it up for my dogs because they bark whenever they hear a noise or if someone rings bell i have 3 dogs i put it on and they went beserk they started going after each other i didn't hear anything myself but i am quite sure the dogs did like i said they acted very badly towards each other the tone must have made them lash out like that. i cannot use it anymore. ",negative
" my beagle (13 mo.) cocks her head showing that she hears something with a slight pause in the barking process but does not deter her from barking at a later time. does nothing for howling and will only go off for loud barks not smaller barking or any form of whining (even if extremely loud) ",negative
" i bought 3 of these to monitor my invalid mom and they don't work well. the manual is not thorough but it does tell you after you bought the product that there is a one-second delay unless you buy an ac adapter. i just bought 12 batteries for 3 units and wasn't about to buy an ac adapter to see if that fixed it. it cut off my mom's voice and i rarely heard her message. the units also have annoying beeps that can't be turned off. no real volume control either. a very overpriced and poorly designed unit. also the switches to adjust for conference and vox mode are small and need a small object smaller than a pen to change them. the sound is clear if it doesn't cut you off but the units are far from user-friendly. ",negative
" it appears that the viatek product (bark stop pro) is related to the lentek design (pc16 ; asin: b0002q89o6) - they are based on a common design by a lentek engineer. i have used (tried) the viatek bark stop pro and it definitely does not work. my experience was the same as another reviewer of the lentek pc16 who noted that the unit only works on the audible setting - dogs will at least perk up their ears at the high pitch tone ; they completely ignore whatever is emitted on the ultrasonic setting. furthermore it is often activated by extraneous noises like birds banging doors wind noise etc. this really poor functionality is due to either poor design or poor construction / quality. i've tried two different units and they both do not work. the negative reenforcement concept could work if only these devices were tuned to the noise environment and could filter out all except the actual barks. ",negative
" i purchased this item thinking it would be great for my 5 yr old's room. he has a 19 inch tv/vcr/dvd combo that will not fit into the space that was designed to hold a 20 inch tv. if you have a modern tv with speakers on the side it will not fit!!!!! i purchased the item directly from step2 and they do not want to refund my shipping fees or pay for me to return the item!!!! ",negative
" man this item is fantastic. i love wasting $80 on pointless furniture. getting a great cheap plastic looking set that holds all my games and systems.... man i must be in heaven. not only that but it breaks easily does this thing have no limit? so i bought this great video center around a year ago.... and what happens it breaks. i had it for a couple of weeks and does it look like dog crap. it looks like you're in a baby kids room. similar to those play centers in day cares or mcdonalds. man that is lame.... i just love having children decor in my house and it has to be $80. if i were you.... i would just let my systems tv and cds sit in some tubberware. believe me it would be 50x safer! ",negative
" the neighbor has a yapping mutt that barks night and day...since the police won't do anything about it i bought this bark free...hahaha...what a joke...the darn dog barked more... anyway...it did zero for my problem and i consider it a waste of money... ",negative
" the one item in your house that you really wish would suck and it certainly doesn't! this thing blows more air than it sucks dirt. what a useless thing. i'm looking for one that will actually pick up the dirt from the recessed areas of my prefinished floor. this thing certainly doesn't do it! if you're looking to buy this thing look again -- there must be something better if not just your regular broom ",negative
" the flip it vacuum was a great idea but little did i know that i would actually have to put my hand in the bin to pull out the dirt and grime after using the wet mop. when using the wet mop-it will leave water lines where i stop therefore i have to wipe up the floor with paper towels. when using the vacuum my liquid cleaner drips onto my hardwood floor leaving water marks! i have not recommended this product to anyone. a waste of $100.00 ",negative
" one might imagine that the whole concept of vacuuming-flip-mopping is progressive in some way but it really does not make the job of cleaning the floor easier. especially when the product is heavy and hard to maneuver with poor pickup. i'd much rather go over the floor with a good vacuum and then follow with a functional well-designed good mop (like the old steammop they discontinued). these things function better as seperate units which is why there's no washing machine that's also a dryer. the flip-it is a very loud machine--so loud that i didn't hear my phone ring in the same room. this makes it difficult to listen for my 3 children too. it's difficult to push and feels like it's gripping to the floor. it doesn't fit into any tight places or under any low chairs/cabinets with it's big fat part-vacuum head. and when you're finished it's a pain to clean out the nozzle and the filter(which you're supposed to keep dry somehow) so you can look forward to a second job once you've finished the job of cleaning your floors. and because of the flip it back and forth design the thing has no equilibrium...it fell to the floor at least 3 times even when i was so careful to rest it against something...once when this happened the dirty water recovery tank hit the floor fell off the machine and spilled the dirty water all over my just-cleaned floor. a true nightmare. i bought this product because i could no longer buy replacement filters/pads for my bissell steammop and i thought i had better give the latest and greatest a try but sadly i was disappointed. i don't review things often but i felt a responsibility to warn others out there who are shopping for a good mop to keep their homes clean. this contraption is not your answer. on a side note i wrote to bissell to bring back the steammop (what an excellent product) so i'm hoping that they will one day ",negative
" the design for using the dc adapter with led booklight is extremely poor. it is possible that i missed the warning that tells you to remove the batteries before using the dc adapter. but it must not have been very big. i combined the two and ended up with batteries that leaked all over inside the battery case. these were brand new batteries. there does not seem to be anything protecting the batteries from the dc adapter and so the power goes right into them. this is bad. modern devices are expected to work with either battery or adapter without having to remove the batteries. i had assumed that i could leave the batteries in so that when i was at home i could use the adapter but traveling i would use the batteries. don't make this mistake ",negative
" bought a global knife a few years ago then bought the water/ ceramic sharpening device. cannot keep this knife sharp. it sits in my block with a bunch of cheap 4 star henckels. i use the cheap sabatiers ($9 for the set and the block) anway it's no worse than any of my other dull knives just cost mor ",negative
" not a good light. the light is already fading and i don't use it very often. very disappointed ",negative
" i baked six loaves in this machine. i have been using various bread machines for the past 12 years and feel comfortable making adjustments when things don't turn out just right. my big complaint with this machine is the low baking temperatures. even on the darkest crust setting and the longest baking time (70 minutes) my loaves were only marginally acceptable - they were not sufficiently baked. i was using a nearly-whole wheat recipe. the machine was quiet strong and had a lot of bells and whistles but with only partially baked bread i had to return it to amazon. amazon shipped it to me in a very poorly packed box which was gaping open when it arrived but they included return labels which made it a cinch to send back and were quick enough with the refund ",negative
" if you are looking for something with great sound quality or even great accuracy in measurment this isn't for you. the radio is hard to use since it doesn't have any indication of what frequency you are on and every time you move it gets overwhelmed by static. the pedometer function is marginal at best. but its what you would expect for $15. ",negative
" when i first got this item i loved it i used it 4 times and it stopped working ",negative
" one might imagine that the whole concept of vacuuming-flip-mopping is progressive in some way but it really does not make the job of cleaning the floor easier. especially when the product is heavy and hard to maneuver with poor pickup. i'd much rather go over the floor with a good vacuum and then follow with a functional well-designed good mop (like the old steammop they discontinued). these things function better as seperate units which is why there's no washing machine that's also a dryer. the flip-it is a very loud machine--so loud that i didn't hear my phone ring in the same room. this makes it difficult to listen for my 3 children too. it's difficult to push and feels like it's gripping to the floor. it doesn't fit into any tight places or under any low chairs/cabinets with it's big fat part-vacuum head. and when you're finished it's a pain to clean out the nozzle and the filter(which you're supposed to keep dry somehow) so you can look forward to a second job once you've finished the job of cleaning your floors. and because of the flip it back and forth design the thing has no equilibrium...it fell to the floor at least 3 times even when i was so careful to rest it against something...once when this happened the dirty water recovery tank hit the floor fell off the machine and spilled the dirty water all over my just-cleaned floor. a true nightmare. i bought this product because i could no longer buy replacement filters/pads for my bissell steammop and i thought i had better give the latest and greatest a try but sadly i was disappointed. i don't review things often but i felt a responsibility to warn others out there who are shopping for a good mop to keep their homes clean. this contraption is not your answer. on a side note i wrote to bissell to bring back the steammop (what an excellent product) so i'm hoping that they will one day ",negative
" i bought this device in the hope of eliminating or significantly reducing the noise emanating from my neighbor's mutt. the offending dog is often left on the neighbor's porch where it harasses just about every living thing that passes by. before ordering i had read varying accounts of its range in terms of how close the unit must be to the dog in order to attain the desired effect. in my case the neighbor's porch is about 35 to 60 feet aware from mine. unfortunately this was not too close for comfort as far as the dog was concerned. having read a number of very mixed reviews of this and similar devices i was not overly optimistic about the prospect of it actually working. alas it did not. some dogs just don't hear them. in my case it was probably due at least in part to the distance. my suggestion is to go ahead and pick up one of these devices if and only if you are within 20' of the target. if it doesn't work go ahead and return it to the manufacturer for a refund (which is exactly what i did). by the way you don't need an ra (aka rma) number to return the device. just send it to the company along with your receipt and a note saying that you would like a refund (not an exchange). (...) i sympathize with anyone having this problem and wish you all the best of luck. no one deserves to have their peace and quiet disturbed without good reason and the argument that dogs bark simply does not hold any water ",negative
" i bought this set thinking is was going to look nice for a while due to the name brand and the price. wrong... this pots get scratches from anything that goes near them. after a few months of gentle use they already have so many scratches on the outside and look awful. also the handles get really hot. ",negative
" i baked six loaves in this machine. i have been using various bread machines for the past 12 years and feel comfortable making adjustments when things don't turn out just right. my big complaint with this machine is the low baking temperatures. even on the darkest crust setting and the longest baking time (70 minutes) my loaves were only marginally acceptable - they were not sufficiently baked. i was using a nearly-whole wheat recipe. the machine was quiet strong and had a lot of bells and whistles but with only partially baked bread i had to return it to amazon. amazon shipped it to me in a very poorly packed box which was gaping open when it arrived but they included return labels which made it a cinch to send back and were quick enough with the refund ",negative
" within a few weeks of purchase the teflon in the zojirushi pan started to blister and flake off. this is not the result of customer abuse but a manufacturing defect. this is my third (and final) bread machine. the first two were breadman ultimates. i should note that i make bread in the machine about 6 times a week on average pretty much every morning. the first breadman worked for over a year until the teflon in the pan started to fail. this was probably my fault for allowing the pan to soak for extended periods of time (water can get behind the teflon and ruin the bond). i bought an new breadman ultimate because the entire machine was only slightly more than the pan alone and the old machine was starting to have mechanical problems. this time i took extremely good care of the pan (letting it cool down no soaking) because it's clearly the weak link in the system. within 8 months the stirring shaft that drives the paddle in the pan simply fell out. whatever the detente mechanism was that holds the shaft to the pan failed making the machine useless. currently it doesn't seem very easy (or even possible) to buy a replacement pan for the breadman. at this point i was done with the breadman. much as i didn't want to spring for the extra money for the zojirushi and realizing that my default augmented sourdough recipe probably wouldn't work the same in the new machine i didn't see an alternative and got one. within 3 weeks the teflon in the zoji pan formed two blisters. one is bit smaller than a dime and all the teflon at this spot has flaked off; the other spot is blistering but the teflon is still intact. i have been extremely careful with the pan: i wait for it to cool and then remove the baked-on bread under the paddles with warm water using mostly my fingers. i don't let it soak at all. this is clearly a manufacturing defect. i have further complaints with respect to this machine as compared to the breadman ultimate: 1) the top of the bread rarely gets brown. i've added more sugar to the recipe which helps slightly but not much. 2) i don't understand what the crust control option does. it doesn't seem to increase baking time which it does on the breadman so it doesn't make much sense. 3) the programmability is very weak. on the breadman you can take any of the existing standard options and modify them as well as make up entirely new programs. 4) the programmability options are very limited: - you can't control the knockdown time between risings. - you can't add risings to the default three. they do give you a lot of time control on the risings. - you can't separate the mixing cycle from the kneading cycle: it's all one cycle. - when you turn off the preheat cycle this only affects the built-in programs and not the custom ones. - and worst of all: you can't bake for more than 70 minutes. this is utterly ridiculous. i'm sure this is a safety feature but it means you can't correct for the pathetic lack of crust formation or have larger recipes and so forth. this is almost a killer limitation in my opinion. for those other reviewers that are having issues with rising i've determined that the machine is very sensitive to the amount type and quality of yeast. if you *exactly* follow the manufacturers instuctions with respect to yeast and use fresh yeast it should work okay. this means you must use rapid rise yeast with the quick programs and active dry yeast with the longer standard programs. even using fleischmann's instead of red star made a difference. the breadman was pretty much indifferent to yeast variations. at this point i'm done with bread machines. they are a failed technology. in fact teflon is a dangerous and substandard technology. all you have to do is search for teflon (polytetrafluoroethylene) and toxic to come up with some pretty alarming data on this noxious substance. the manufacturing process results in significant environmental contamination. a direct consumer health risk due to toxic outgassing occurs when teflon is exposed to temperatures above 500 degrees (eg: frying pans). perhaps bread machines are not that risky given the lower temps involved in baking and the fact that wet dough will keep the average pan temperature pretty low but if you know anything about toxicity you will realize that it is always a sliding scale: there will be some outgassing at lower temperatures. imagine low levels of toxic gas released into your homemade bread. i've thought about this but there's no way to make a bread machine without teflon -- going from mixing dough to baking requires teflon there is just no other viable solution. i love making bread every day and i'm going to miss this activity but at this point the manufacturing defects and use of teflon mean i have to give up on this technology. it's back to the occasional hand-made loaf -- it's the only rational and healthy solution ",negative
" this item did not work when i got it. i returned it to zelco who informed me that it was my error they did not do refunds and returned it to me. i had a previous model zelco that worked great for 10-15 years. it had a switch. this new one does not have a switch and at this time will not turn off. gr ",negative
" light is beautiful and functional and so great for traveling but first led light failed almost immediately and second after about 2 months. too bad. ",negative
