text,class
" let me first say i am one of martha stewart's biggest fans! i have enjoyed msl magazine for years and loved the format of the old show (the new one is taking awhile to get used to). i jumped at body and soul when it first came out but have been repeatedly disappointed in the obvious exclusion of anything male in the articles. not to mention the articles on relationships and love have never mentioned same sex partners which i find totally unacceptable unforgivable and just plain stupid from a marketing standpoint. why exclude men and gay people? i have also noticed there are no ads from advertisers marketing to men either. most if not all of the articles are nothing more than new age pablum either borrowed or stolen from much better magazines such as alternative medicine. don't waste your time or money on this one. this isn't even good enough to line my cat's litter box ",negative
" this is not the health magazine you'd expect from martha stewart -- it's extremely heavy on advertisements (45% at my rough count) and really cluttered and just not good. the recipes are interesting if you can find them among the aromatherapy and skin-hydration ads ",negative
" even if you're a conservative you gotta admit that this is one of the worst magazines around. if you like good writing don't even try this one. a one star is still too generous in my opinion. ",negative
" oh those were the days when i was in college reading my first issues and then subscribing. there were great things to be found in its pages columns by brian crozier russell kirk erik von kuenhelt-leddhin (sp?). the great struggle with the soviet union was going into a critical stage. it seemed nr was so on the right track. and it was wonderful to read at least from about 1979 to 1983. but then it became for a while duller. it had some periods of recrudescence such as under the editorship of john o'sullivan. but when rich lowry took over nr really began to dumb down (nothing personal mr. lowry). but what i've really discovered of late is how badly the neo-con agenda has sort have taken over the magazine. we've got in the 50th anniversary issue a call by midge dector to rally the country to our illegal and immoral war in iraq. really something has happened to the magazine a sinister force has entrenched itself there. what is that force? well go to come-and-hear.com and you will begin to learn part of the picture especially when you read the material by elizabeth dilling. i would also recommend paul findley's they dare to speak out which details the israeli lobby's domination of our congress. nr was once a courageous conservative magazine but now it has been heavily tainted by the influence of a terrible thing. wfb should know better and maybe he does. if he doesn't then he should pick up neo-conned! and neo-conned again! and then he should listen to tony martin's talk given to the ihr on a certain group's tactics deployed to suppress free speech. what has inspired me to write this review is wfb's recent column on the incarceration of david irving. it ends in a disgusting gloating. wfb has fallen into an evil trap and so has the magazine he used to run. what has happened to the christian faith of people like buckley? he now seems lost and terribly afraid of offending that supposedly saintly interest group...and you mr. lowry come on now: read widely and deeply and don't be afraid of reading the talmud and about the israeli lobby. once you do maybe you'll develop the strength to think outside the box. we're going to have to do that if we want anything but the bleakest future for mankind and the planet. ",negative
" if you want to keep yourself in delusions and in the dark about what's really going on in the world read this magazine. national review is for people who sympathize with christian jihadists and white supremacists. wouldn't want to be in that camp if i were you. read time mother jones the nation or the american prospect instead. ",negative
" i got this magazine as a gift starting a few months back. i really can't say i'm impressed. admittedly i'm much more left leaning than this conservative (sometimes very very conservative) magazine. dispite my bias i can still recognize good writing and well made points - this magazine generally lacks both. this isn't to say that i've never seen a good point or anything they're just fairly rare. if you want to read a well-written well-argued conservative mag this isn't it ",negative
" this magazine just dares people to pick the most boring pretentious or ostentatious feature within any given issue. town & country is an extremely old money venture and while it does have some good and useful articles (and lovely advertisements for things that virtually nobody can afford) much of the magazine is essentially centered on a very elitist worldview that grows very tiresome rather quickly. town & country was initially recommended to me because of ostensibly good coverage of travel and architecture two areas i have great interest in. as an applicable aside when i read a list of tips in the offshoot town & country travel publication on ways to ease the stress of long range flights i realized there was a reality check due when one of the first tips was to always fly in first class ignoring the fact that the vast majority of readers would rather buy a car with what a typical first class ticket to europe or asia costs. as i mentioned there are some good articles and there are occasionally better and more useful offshoot publications like town & country travel that are eminently more readable (although they still insist on advertising things like seven million dollar vacation homes on the coast etc.) i will say that the photography is always good and you can believe that if it appears here that it is the finest and most fashionable available: hyacinth bucket would no doubt like to be seen reading this magazine. despite having occasionally worthwhile features i find town & country to be excessively pompous therefore i recommend finding another publication focused on whatever area of interest you have whether it is fashion society or travel. ",negative
" yes t&c is the oldest continually published magazine in the usa and it's their 160th anniversary. however i see little reason to celebrate. why? because i fail to see how it's really improved over the years. nowadays this magazine seems to cater far too much to the material lusts of the nouveau riche. back in the day when it was a true high society magazine there were rather interesting and educational articles on the arts literature and culture. it was beautiful and it really gave a person something to aspire to but now just like so much of the rest of society has mutated into a lot of pretentious materialist wannabees bragging about bling bling so has this magazine. there are far too many adverts for so-called luxury goods for my tastes and although they put in a patronizing article about women over age 60 being the new power base they insist on using only thin 20-something models who probably can't afford the clothes they are modeling! articles wise they are starting to sound more like glamour or cosmo than the erudite publication i used to enjoy buying on the newsstands 20 years ago. yes t&c has changed with the times...but these are not good times if that is the case. it's too bad ",negative
" i received this subscription as a trial and found it one of the most boring publications that i have ever read. by the last few issues that i got i wasn't even looking at the pictures anymore. there are drawn-out descriptions of their views of the finer things in life which were very materialistic. at the end of every issue there were pictures of &quot;real-life&quot; wedding announcements. perhaps this is fitting for your local newspaper but it struck me as out of place in a magazine ",negative
" great for filling the doctors office magazine selection - if it's free - but not worth your money to own. i bought if for gardening inspiration and there is really nothing about gardens or gardening in here. oh once in a while they remember to put a garden shot in the magazine but not consistently. the home section isn't that inspirational either. go for it if it's free but if it's not don't buy it ",negative
