text,class
" i bought this light after looking on the web .it seemed to be sold everywhere. however no one seems to have tryed it . it did not even light up the title to my music much less a complete page. musicans beware this is mighty dull ",negative
" i got this light before the led lights started coming out in the retail channel. those lights tend to almost be too bright but they have the advantage of running for ages on tiny batteries. unfortunately this light uses 4 aa batteries which makes it fairly hefty. it alternatively can operate on an ac adapter. this makes it lighter but it's still bulky because of the battery compartment. the good: the light is nicely bright with a natural quality that's easy on the eyes. it has a ratcheting arm so you can put it where you want and it stays there (better than most of the flexible arm ones) includes an ac adapter slot (though no ac adapter) can help weigh down lighter books to keep the pages from turning nice large clamp for attaching to books. lamp shade which allows you to throw the light where you want without blinding your vision. decent quality plastic - made in china the bad: no brightness adjustment. heavy (can be a benefit in some cases) and makes holding up a book all the more tiring. bulky - makes it really hard for a book to sit properly in your hand. the ratcheting mades a loud click which can wake your wife in bed. :-) the clip has very limited strength and seems to slip easily. eats up batteries fairly quickly - i use rechargeables in it now. i'm giving it an even 2 because it's a pain to use really. hopefully i can find a light weight led clip-on which has a brightness adjustment with a quiet arm that stays in place and most importantly - natural lighting. if so i'll review it on here - but most leds wash out the page making it hard to read. the nice quality lamp is the only reason this one doesn't get 1.5 stars ",negative
" i bought this light after looking on the web .it seemed to be sold everywhere. however no one seems to have tryed it . it did not even light up the title to my music much less a complete page. musicans beware this is mighty dull ",negative
" i got this light before the led lights started coming out in the retail channel. those lights tend to almost be too bright but they have the advantage of running for ages on tiny batteries. unfortunately this light uses 4 aa batteries which makes it fairly hefty. it alternatively can operate on an ac adapter. this makes it lighter but it's still bulky because of the battery compartment. the good: the light is nicely bright with a natural quality that's easy on the eyes. it has a ratcheting arm so you can put it where you want and it stays there (better than most of the flexible arm ones) includes an ac adapter slot (though no ac adapter) can help weigh down lighter books to keep the pages from turning nice large clamp for attaching to books. lamp shade which allows you to throw the light where you want without blinding your vision. decent quality plastic - made in china the bad: no brightness adjustment. heavy (can be a benefit in some cases) and makes holding up a book all the more tiring. bulky - makes it really hard for a book to sit properly in your hand. the ratcheting mades a loud click which can wake your wife in bed. :-) the clip has very limited strength and seems to slip easily. eats up batteries fairly quickly - i use rechargeables in it now. i'm giving it an even 2 because it's a pain to use really. hopefully i can find a light weight led clip-on which has a brightness adjustment with a quiet arm that stays in place and most importantly - natural lighting. if so i'll review it on here - but most leds wash out the page making it hard to read. the nice quality lamp is the only reason this one doesn't get 1.5 stars ",negative
" ordered 5 items but this one did not arrive. said wrong address but all others came. lost $5.00 in shipping sounds like a run-around. ",negative
" you better know how to use a chromatic tuner if you buy this because the instruction booklet doesn't bother to tell you. i've got red and green lights flashing at me--have no idea what all this means ",negative
" if you are buying this set for a beginner (i mean just started playing) then fine this set does not come with the cymbals and even if it did come with the hi-hats crash cymbal and ride cymbal they would be terrible sounding. if you have been playing for a few years dont get this set this set really is only meant for kids and early beginners because i'm 14 and have been playing for 4 years and i'm still a beginner and i would not buy this set so think it ove ",negative
" they dont display all of the information.this product doesnt come with cimbols.wasnt worth what i payed for it.dont buy thes set ",negative
" rockin' red guitar eh? perhaps rockin' should ready rocky as the plastic case is easily broken by any youngster... or oldster for that matter. additionally this toy comes pre-stringed with some form of non-natural strings supposedly nylon -- two of these non-gut strings broke when attempting to ellicit some music from the item. definitely not for a young child! it probably wouldn't last for a half-hour under constant use by smaller folk ",negative
" see my review for the blue of this- i own the re ",negative
" worst toy ever purchased... scratches screws that cannot be tightened terrible quality in every way ",negative
" i bought this item for my son's piano practice. it worked ok in terms of sound and speed until the second day when the on/off switch broke off. then i noticed that the plastic attachment the switch had was very thin to start with. in my opinion this is a flaky product since the on/off switch will be used many times every day and so it has to be sturdy. ",negative
" you know those little cloth squares you get to clean your glasses when you buy a new pair? here's another one of those ",negative
" what is this all about. i have not ordered this item nor do i have it. please reply ",negative
" cheap cheap cheap- i know you get what you pay for but 20 bucks(after shipping) is a lot to pay for nothing in return. the thing didn't respond to my guitar and the store said that it's probably defective and to return it. but you don't get repaid for any of the shipping so it's hardly worth the effort. buying this just resulted in headache and frustration. ",negative
" better just to throw it away rather than saddle someone with a mistake i made. thank goodness it was not costly...do not waste your money on this toy tuner...this tuner is not sensitive enough for any use at all..cannot buy a worthwhile more costly instrument? go to guitarplayersclub.com a site fender put up for ama and pro players alike....there is a tuner there free that comes very close to the expensive one...exception? no where to put your quarter..... ",negative
" i have been buying tuners for 45 years. i wish i had not bought this one. i bought it months ago. i cannot open the battery door to put in a battery. there must be some trick to it that i do not know. i have lots of tuners and like to have different ones and i am hardly a novice. can't someone let us know how you do this ",negative
" contrary to the vendor's arrival date one of my items have been placed on backorder for nearly a month. i was not notified about the change and only found out when i inquired by phone. the customer representative did not apologize for the company and did not offer any form of resolution for the inconvenience. the first product arrived in good shape and on-time but i am dissatisfied with the customer service when a mistake is made ",negative
" i bought this low priced pedal mainly for my daughter as a starter. to my surpise there was no power supply included! not even a battery. no mention on amazon's product description that a power supply for the unit was not included. i also bought the other two models... one of them picks up a radio station and broadcasts it thru the amp yet there isn't a radio station tower within 5 miles of my house. all in all i feel i got ripped off. if i had known they did not come with power supplies i would not have purchased them ",negative
" i've never purchased a worse item - ever. i bought three of them for the kids... and they are all scratched damaged and of inferior quality. buy this only if you hate someone ",negative
" i first ordered this guitar in another color and after about a week of checking the mail with my little boy every day i was informed that it was out of stock. i re-ordered in the bodacious blue and it came friday. it literally came in the cardboard box that you would buy it off of the shelf in with no packing besides a plastic bag around the guitar like your newspaper would come in. there was no packaging slip. i took it out of the plastic and the body of the guitar was damaged around the edge. there was a little divit the size of a raisin where it looked like it had hit something pretty hard. there was literally slack in the strings so they had to be tightened. it would not stay in tune and i would tighten the strings and you could see them loosen again immediately. my little boy began to play with the out of tune guitar that sounded terrible and the next day one of the strings broke!!! this toy is a piece of junk. the sales pitch says a fully functional guitar... great value for the money.... hahaha! i thought this would be a great starter guitar with little investment. i would only recommend this if you are needing a prop or decoration of some kind. it certainly isn't playable! i have no slip to send it back and what i would have to pay in shipping would probably be near what i paid for the thing. don't waste your money! ",negative
" the string screws are very loose and the strings won't stay tight. though i know it is only a kid's guitar it is pretty useless because the strings won't stay on. we bought two and both are the same way. stay away from this ",negative
" scratches loose screws that cannot be tightened and poorest quality ever! shockingly inferior in every way ",negative
" this item is cheap junk i bought this item and when i got it it didn't work and after hours of fiddling with it it finally worked but the sound was terrible and when i pulled the plug out of the back after a day it said it was chargable but it wasn't it would not work without the plug attached to it and when i started to play it it kept making this annoying banjo like sound and it wouldn't stop and you can not play any fast songs on this because it can't keep up and you can not play more than one note at a time and the keys aren't really raised it is just like pressing cell phone buttons and the plastic is so cheep it almost broke when i pressed one button and after shipping and handling the total was about $56 do not buy this item cheap junk if you want a roll up keyboard go look somewhere else ",negative
" the material is too stiff and forces the pick too far out from my finger. it is also more 'stiff' than a dunlop .60m ",negative
" i have installed this item and it sits here and collects dust due to the buggy immature install design you have to hook up cables to parallel and serial ports and if you don't have them then simply add them.. crap should be redesigned as a simple external box with usp2 interface.. this is a lousy product. michael railey dallas tx. ",negative
" 1. forget the headphones if you're interested in playing guitar you need to actually hear what you play. so replace them first thing. 2. the amplifier is terrible so if you want this thing just to practice at home... well supposing you care nothing for the sound then it's ok. but then why play guitar in the first place? so to sum it up if you play guitar and you respect yourself spend some money and buy something decent. this is an item you may want to give away as a birthday present to a 7-year old ",negative
" i'm really dissapointed with this guitar. i just bought it and after 3 days of being tuned the bridge cracked completely. sound was nice but for using the guitar only during 3 days it's non acceptable. i made sure that string were not overstressed and tuned with electronic tuner having just the top 3 sets of strings (dae) tuned an octave apart (the g was tuned in the same octave) to avoid stress on the guitar. but even with that the bridge cracked. the wood on the bridge is not rosewood but a low quality wood that was the cause of the damage ",negative
" this trumpet is of extremely low quality despite what any other review may say. most of those reviews are written by non-musicians likely parents who were looking for a good deal. granted the instrument is playable it will seriously constrict the development of a player. this instrument is most likely from china which in recent years has sent out thousands of low quality instruments at cheap prices. check out ebay theres always hundreds of these trumpets under various names such as laval bessler and weimer. just remember you get what you pay for. although even used name-brand student trumpets may cost more they are of much better quality and can last a lifetime. stick to name brands like bach yamaha conn selmer king kanstul etc. if you have any doubts give it a quick search at google ",negative
" i gave this item a rating of 1 star only because it was the lowest offered otherwise it wouln't have even received a star. this item is extremely low quality and one of the valves was bent upon arrival it stuck the trumpet was not playable. we took it to a music store only to be informed that it was not repairable... i would say if you are looking for a quality trumpet keep looking because if you purchase this you may as well flush your money down the drain ",negative
" the only song i know with a 12-string electric in it is rush's xanadu so i let 'er rip. sounded good. i had alot of fun playing around with it. however after an hour or so of goofing around i noticed two things that really ticked me off. firstly the outer tines had already broken. the tines look like a wound steel guitar string but the core is very brittle. they didn't completely fall off they just hung there like limp whatevers. secondly the plastic p'up cover and pick guard looked like they had been scrubbed with a wire brush. i can easily fix those but i wonder what such an abrasive pick will do to the strings if i play it alot. it looks like you can only strum on the down stroke. videos of the jellyfish website confirm this. the problem is you're going against the grain on the upstroke and it catches on the strings. how much fun is it to only play down strokes? it's kind of hard grasp too. it needs a thumb dimple. i'm going to make one using more flexible wound guitar stings to see if its any better. if you've got $10 to blow go ahead and get one ",negative
" lousiest 10 dollars i spent. the tips are already bent and thats at maybe 10 minutes or so of fooling around with it. ive tried it with multiple guitars and the effects and theres no such thing as this thing getting a bow effect. i dunno. scratchy. i dont recommend this at all. ive been playing the guitar for about 13 years now. ",negative
" the jellifish is no replacement for a twelve string guitar. you can not play it fast it is fragile and the tone is scratchy. that being said it can be used to make some interesting sounds for color in rhythm and slow lead playing. it is not something i would use often. my 1.00 mm clayton feels and sounds great after after a few minutes of playing the jellifish. after one hour of use the jellifish is starting to show signs of wear and tear. so don't say you weren't warned. ",negative
" i saw a lot of bad review about this crappy item but like a silly guy i bought it! be aware that it may be an nonreturnable item. if you were me don't spend your money on this pick! buy a real chorus gear ",negative
" you know how when a regular pick hits your strings you can hear the sound of it hitting the string then after it releases and the string reverberates you hear a note? well imagine hearing 15 picks hit the string before the string produces music. and the 15 picks are made of coiled wire. i can't imagine a worse sound or feeling. ",negative
" this guitar i receieved has a warped neck; how dare you send this product out ",negative
" this is some pretty firewood. it does not stay in tune nor will it play as a real guitar. this is strictly a toy and should not be purchased if you want your child to start learning how to play. i was really dissappointed when i got it out of its box ",negative
" it doesn't look as pictured and has a hollow sound even if it is a beginner childrens guiter ",negative
" i ordered this guitar for my grandson for christmas. there is no way to keep the strings tight even though you turn the screws to tighten. when you do tighten the strings are brittle (as if really old) and break. to get a refund on this item you have to obtain an rma pay for return shipping (which will probably be almost as much as the guitar) and they will issue a refund after they receive the guitar back. so i will probably be out about $10.00! ",negative
" this is an adorable guitar and it's the perfect size for my two year old but it's made cheaply. the strings loosen after he strums it for a couple of minutes which means i'm retightening the strings each time he plays with it. i guess you get what you pay for (afterall it was only $14.99)! ",negative
" this guitar is shockingly bad- cheaply made and broke withing one minute of my tiny two year old touching it the bridge fell off the strings snapped when we tried to tune it. the extra string (yes that's singular) didn't even fit! don't waste your money ",negative
" i bought three of these for my two 6 year olds and my 7 year old. every one of them arrived in abysmal condition. strings everywhere... loose tuning screws that could not be tightened... and scratches. i could not believe that anyone would sell something this inferior. shocking is an understatement describing this purchase ",negative
" i was very disappointed in this product. it is for a child and yet the wood string holder was not even attached to the guitar. this product lasted a whole two days before the part fell off and you could no longer use the guitar. the tuners also were unable to tighten so you basically had a piece of useless wood shaped like a guitar. ",negative
" worst quality i have ever seen - bought three and all three are horrble. scratched screws won't tighten... shocked by the lack of quality control. ",negative
" i'm a guitar player that decided to pick up the drums as a second instrument and also to help in developing a better sense of rhythm. in the course of my studies i happened across the dd-20c and it seemed to offer some really nice features for what seemed like a reasonable price. the unit itself has 10 preassigned drum kits plus the ability to assign your own custom setup. in addition it offers 16 special effects 4 drum roll effects adjustable tempo and 100 different styles to play along with which cover a wide range of genres. not only that but it offers the package in a very intuitive interface that will get even the rank beginner up and going quickly. sounds like a pretty nice deal right? it would be... if it worked like it's supposed to. actually i'm on my second set right now and this one is about to go back for a refund. the first set i had the pads were so insensitive as to make the unit nearly unplayable. what i mean by this is that there was maybe a square inch or so of a sweet spot where the pads would sound at all and even then i really had to strike hard. the second set i'm on now is far better in response than the first but still falls short of acceptable. for starters the pads don't feel like a real drum skin at all. if one were to compare against an acoustic snare drum for example the snare has a certain bounce to it that this unit doesn't have. basically the pads absorb most of the impact and this in turn makes doing any kind of fast work or rudiments all but impossible. also even though my second set is more responsive from the first i have found that it still takes a considerable amount of force in comparison to a real drum to get the pads to sound off. keep in mind that the pads themselves are only 4 inches or so in diameter... an actual snare starts at 12. in all fairness though i really can't hold the pad size alone against the dd-20 as yamaha did have to keep the overall size and cost manageable and in reality if there weren't the feel and responsiveness issue the pad size should be sufficient. however when these combined factors are taken into consideration i have found that it makes for a frustrating experience. my opinion for what it's worth is that new drummers who are looking to the dd-20 to learn on should do it the old-school way and start with a quality practice pad instead. they are considerably less expensive (a reelfeel 12 pad and sticks will run about half of what this unit costs) indestructible easier to work with and offer at least a reasonable approximation of the feel of a real drum. not only that but a pad also inherently allows for quiet practice. maybe yamaha will fix the feel and sensitivity problems with the next revision of this drum set... then it might be worth it. until then i feel that the dd-20c is best avoided. ",negative
" package arrived in good condition however.....i spent alot of money on this item .......is very small for what you get and then the ac adaptor doesn't even come with it!! these toys are getting more expensive and then don't include any accessories for what you pay for. i like yamaha products but would be very careful in future to buy items like these from online. ",negative
" we received the product on-time however the oil container had leaked inside the trumpet box and it smelled real bad. we had to leave the box in the sunshine for almost a week and still it smells bad. as for the trumpet itself after a few lessons at school one of the keys keeps getting stuck and has to be manually pulled out to the normal position ",negative
" contrary to the product description this stool is not heavy duty! the actual seat itself is made of very flimsy plywood and any sort of bad posture or leaning forward will crack it and punch the metal supports through it! the legs are also hard to adjust to optimum length as the retention screw doesn't hold anything in place for long. if you can find something somewhere else i say go for it ",negative
" the videos are amazing! i would have to say better than amazing. the riffs and solos that are taught are fun and work well with the level they correspond to and i feel progresses well with a beginner and beyond at a consistant speed. the only problem is... that there is a grey area that overlaps the term beginner and intermediate so you may have to skip around the lessons to get on track with the course. for instance i decided to learn the riffs and practice the pull offs from the beginner dvds and go straight into the intermediate levels of the course as the beginner sections where way to easy. but i would have to say if powerful riffs and electrifying solos is your passion then i know of no other course that will get you there quicker while having more fun doing it ",positive
