text,class
" i bought a small one of these with blank unlined pages as a pocket sketchbook. the pocket sketchbooks commonly sold in art supply stores are one of two varieties either wire-bound or stitched. the thing is wire-bound notebooks are uncomfortable to have in a back pocket (and i just don't like the feel bumping up against the ridges of the wires on that edge) and most stitched bindings don't fold as well as the moleskine does (folding nice and wide so there's plenty of blank page to use). and to be honest i may've fallen just a little for that pompous tripe about being the sketchbook of great artists. the thing is the paper is terrible. all the 'bloggers and geeks i've heard raving about these notebooks use them for their laundry lists or their ideas to write about or god knows what. and while i'm not the best artist around i did minor in fine arts in school so i'm not completely clueless. so take my word (or don't; it's your loss); the paper is just plain bad. most drawing paper has some degree of tooth--the roughness of the paper which rubs off your graphite or charcoal smoothly onto the page. the tooth on these sketchbooks is nonexistent. rather than describe in more detail the paper however i believe i can give an apt description in two words. manila folder. that's what the paper in these books is like so as to be nearly indistinguishable (slightly smoother in fact than manila folders--even less tooth). while paper quality is something of a personal preference i've never seen anyone use any paper remotely similar to this for drawing so i have to question the claim that these pads are identical to those used by picasso et al. on a positive note the binding is great the covers are great and the elastic strap bookmark ribbon and back pocket are all great features. but when it comes down to it i care most about the paper quality. if you want to just write get one of these. if you intend to do any serious drawing don't bother. ",negative
" i bought a small one of these with blank unlined pages as a pocket sketchbook. the pocket sketchbooks commonly sold in art supply stores are one of two varieties either wire-bound or stitched. the thing is wire-bound notebooks are uncomfortable to have in a back pocket (and i just don't like the feel bumping up against the ridges of the wires on that edge) and most stitched bindings don't fold as well as the moleskine does (folding nice and wide so there's plenty of blank page to use). and to be honest i may've fallen just a little for that pompous tripe about being the sketchbook of great artists. the thing is the paper is terrible. all the 'bloggers and geeks i've heard raving about these notebooks use them for their laundry lists or their ideas to write about or god knows what. and while i'm not the best artist around i did minor in fine arts in school so i'm not completely clueless. so take my word (or don't; it's your loss); the paper is just plain bad. most drawing paper has some degree of tooth--the roughness of the paper which rubs off your graphite or charcoal smoothly onto the page. the tooth on these sketchbooks is nonexistent. rather than describe in more detail the paper however i believe i can give an apt description in two words. manila folder. that's what the paper in these books is like so as to be nearly indistinguishable (slightly smoother in fact than manila folders--even less tooth). while paper quality is something of a personal preference i've never seen anyone use any paper remotely similar to this for drawing so i have to question the claim that these pads are identical to those used by picasso et al. on a positive note the binding is great the covers are great and the elastic strap bookmark ribbon and back pocket are all great features. but when it comes down to it i care most about the paper quality. if you want to just write get one of these. if you intend to do any serious drawing don't bother. ",negative
" this is a review of the avery 3279 ink jet dark t-shirt transfers. but i wouldn't be surprised to discover that the rest of the stuff they make is also junk. this stuff is expensive....over $15 for five sheets from office depot. i had put in a brand new ink cartridge just a couple of days prior (hp psc 1410 inkjet) and it was working fine on normal paper. read all the directions carefully and more than once. first time the paper cut off the top portion of the image.....sure blame it on the printer; but if so why didn't normal paper do this? second time it printed really wimpy and hazy grey....yet i had set the printer to use maximum dpi! i thought ok maybe it will darken from the heat of the iron. set the kitchen timer ironed it exactly as instructed....and it is still a sickening hazy grey instead of the crisp black i wanted! and some of the darkness of the fabric below is showing through the white portions. oh yes...it is incredibly difficult to peel off the backing...you do end up having to tear a portion of the design you create pretty much ruining it. so....wasted time shopping for this. overpaid for the product. wasted hours prepping the image. and now i have a ruined tote bag that can't be replaced. avery scum i hate you ",negative
" this is a great address book but you should know that the price coming out of the factory is $9.95 not the higher prices cited in this listing ",negative
" though lacking good directions this was straightforward to assemble. however it is flimsy and tilts whenever i lean on it ever so slightly. i am getting rid of it. ",negative
" this stand is nicely designed in terms of function and it also looks very appealing. the problem is that there are no assembly instructions just a few pictures and the design is faulty for assembly. for instance the hardware can attach the wrong way to the bottom of the smaller shelf when it would have been easy to design it so that the hardware can only go on one way; it took 90 minutes to assemble by 2 skilled men because the pole for each shelf didn't fit well into the mainframe poles (we had to use soap and three people holding and pushing) and the stand had some gashes in it though it was advertised as new. changing the height of this stand takes 2 people because at first it won't move and then it falls and hits your knee. now that it's together we're using it but what a price ",negative
" poor communication. i was notified that the printer was not coming when they said it would but was never given another date. after waiting some time i cancelled the order and said i ordered another one from someone else. i guess they don't read their email either. the next day they shipped the item. now i have two but am not going to spend another $20 to ship it back to them. believe me i would never buy from this company again ",negative
" these books are a good idea for the repeat visitor to a city-- basically just a place for notes in the lovely (i think) moleskine format. the maps though can be found better and cheaper on other places. more important this seller has claimed a falsely inflated list price and consequent discount that is misleading. the list price for these books is 17.95. check in any book store. shame on the seller ",negative
" i am still waiting for delivery. please contact your vendor or cancel order. do not charge my account. ",negative
" i bought this machine at michael's (craft store) for use with polymer clay. the machine was very poorly made and broke on the second day of use! the clamp that helps hold it to the table did not fit properly so i had to borrow some of my husband's clamps so it wouldn't move around....but then while using it the dials (that gauge the thickness of the clay) completely broke. i returned it and am going to get a nicer atlas machine. don't waste your time with this one....you'll only be disappointed and frustrated with it ",negative
