text,class
" hard to set up and use. no directions and can't find anything on the web. would not buy if i knew this ",negative
" $80 for this? seriously overpriced. if you can find something cheaper buy it this is not worth 80 bucks. clamps were not capable of holding a small boneless ham without slipping. worked well with ribs ",negative
" this seems like a great idea - the food is held in a basket so that you don't have to shove a skewer through the meat. however the little bolts that hold down the clamp onto the rack are meant to be tightened by hand. if you have a sizable chicken you cannot tighten these enough by hand. i had the chicken fall out of the rack into the flames more than once. then you have to tighten them with pliers but the metal is so soft that you can only do this 2 or 3 times and then the threads are stripped and the whole thing is useless! again: hand tighten = chicken falls out; tighten with pliers = threads are stripped. now i have to try to get replacement parts for the rotisserie from weber. good luck ",negative
" i was looking forward to purchasing this item until i got to the final step of the order process where it shows the shipping cost. the cheapest shipping would run me 14.99 for an item costing 21.89. sorry weatherbuffs you lost a sale due to your ridiculous shipping price. ",negative
" for me the lacrosse technology wt-3122a 12-inch wood atomic analog clock is of little value. i talked with a friend living in colorado who is very satisfied with an equivalent clock but i am in new york and much further away from the transmitter and it just doesn't work to my satisfaction. when it was first put on the wall in the kitchen and didn't work for several days i contacted technical support. they suggested i put the clock in a window. i followed their suggestion and after 2 days the clock was set correctly. i moved it back to the kitchen wall and now 7 days after the change to daylight savings it's still on eastern standard time. i didn't purchase this clock to hang in my window. i need a clock in the kitchen. as soon as i can find a suitable replacement this one is going into the garbage where it belongs ",negative
" the third time i used this brush it broke. the wood split diagonally at the neck of the brush a little before where the bristles start. i now have the perfect implement with which to stake a vampire. my other weber brush (which i purchased at a diff. website) is still intact and works okay. you see the bristles are a little gunked up -that's why i bought this second grill brush. -buyers and vampires beware ",negative
" the photo on amazon isn't representative of the product i received. the frame is white or an extremely light silver. i also bought a lacrosse technology wt-3122a 12-inch wood atomic analog clock which didn't match it's photo either but at least i like it. ",negative
" this seemed like a pretty slick idea and was a pretty clock. all it needs to do is let us know that our stomachs aren't lying that it really is near lunch. i set it near our front (glass) door and it apparently found a signal as it had changed time by itself and was spot on. so i hung it in our office (no window). two days latter we had a thunderstorm one night. apparently that can interfere with the signal. rather than sit tight and wait for a fresh signal this thing was off by an odd amount of time like an hour and 27 min by the next morning. i set it manually and today it's off again by about an hour. the instructions to reset which i got from tech support were not less than 7 steps long and included a detailed disertation on what type of battery and what it's expiration should be. man that's a lot of work just to verify what my stomach knows is true. for $25 and the packaging being gone this is in the dumpster. i'll get a regular clock that only keeps time to a couple of minutes a month....but takes a month to show the error ",negative
" the radio controlled atomic clock is not based on a mature technology. mis-communications could happen quite often. the programmers did not build a robust program to check and eliminate these mis-communications (a very simple task). as a result the clock could display wrong time randomly under certain conditions and therefore could cost the user big damage. i have three atomic clocks. they had displayed wrong time at least 20 times in the past year. sometimes this happens simultaneously to two clocks--they showed two different times and both of them were not correct. since there is no way to turn off the radio receiver the clock simply cannot be trusted. using a regular clock at least i know it is within a few seconds to the real time. using an atomic clock i don't know anything about the correctness of the time it shows. my atomic clocks were off 35 65 120 60 etc. minutes many times (sometimes ahead sometimes behind). today it made me got up an hour earlier in the morning. it showed 6:00am when i looked at it. it was raining and was dark. i got up and took a shower. when i came out of the bathroom i payed attention to a regular clock in my kitchen. it showed 5:05am. after i verified with the time showed on my watch i realized that i was cheated by the atomic clock again. what a wreck ",negative
" i was very disapointed with the smoker cover. it is made of a very thin plastic that is simular to a medium guage garbage bag material. this type of cover needs to be able to be resistant to some heat weather and also some general scratching. just taking the cover off requires real tender care or you will get a quick split in it. the company needs if necessary to charge more for the cover and make it more durable. sincerely yours allen vest iii ",negative
" don't waste your money (even just 10 bucks). the plastic is not rip-stop and tears very easily. i will now just use a big heavy duty black trash can liner - they are much stronger ",negative
" did not expect much for 10 bucks... but give me a break 2 weeks and the plastic streched and tore around the handle up on top of the smoker. i think a heavy duty trash bag is what this product is equivalent to ",negative
" i normally bbq 8-9 racks of ribs at once for our annual party. thought that this weber rib rack would make it easier. however i found that it was more of a hinderance than a help. i like to baste my ribs with lots of sauce several times so i have to remove them from the rack for basting. getting the ribs in and out of this rack was a pain. if you're going to load in the ribs and just let them slow cook then it might be useful. but that's not me so i gave my weber rib rack to my brother-in-law. ",negative
" hard to set up and use. no directions and can't find anything on the web. would not buy if i knew this ",negative
" $80 for this? seriously overpriced. if you can find something cheaper buy it this is not worth 80 bucks. clamps were not capable of holding a small boneless ham without slipping. worked well with ribs ",negative
" this seems like a great idea - the food is held in a basket so that you don't have to shove a skewer through the meat. however the little bolts that hold down the clamp onto the rack are meant to be tightened by hand. if you have a sizable chicken you cannot tighten these enough by hand. i had the chicken fall out of the rack into the flames more than once. then you have to tighten them with pliers but the metal is so soft that you can only do this 2 or 3 times and then the threads are stripped and the whole thing is useless! again: hand tighten = chicken falls out; tighten with pliers = threads are stripped. now i have to try to get replacement parts for the rotisserie from weber. good luck ",negative
" i was looking forward to purchasing this item until i got to the final step of the order process where it shows the shipping cost. the cheapest shipping would run me 14.99 for an item costing 21.89. sorry weatherbuffs you lost a sale due to your ridiculous shipping price. ",negative
" for me the lacrosse technology wt-3122a 12-inch wood atomic analog clock is of little value. i talked with a friend living in colorado who is very satisfied with an equivalent clock but i am in new york and much further away from the transmitter and it just doesn't work to my satisfaction. when it was first put on the wall in the kitchen and didn't work for several days i contacted technical support. they suggested i put the clock in a window. i followed their suggestion and after 2 days the clock was set correctly. i moved it back to the kitchen wall and now 7 days after the change to daylight savings it's still on eastern standard time. i didn't purchase this clock to hang in my window. i need a clock in the kitchen. as soon as i can find a suitable replacement this one is going into the garbage where it belongs ",negative
" the third time i used this brush it broke. the wood split diagonally at the neck of the brush a little before where the bristles start. i now have the perfect implement with which to stake a vampire. my other weber brush (which i purchased at a diff. website) is still intact and works okay. you see the bristles are a little gunked up -that's why i bought this second grill brush. -buyers and vampires beware ",negative
