text,class
" i ordered two of these to save on shipping and figured the extra tube would be good for relube in another year or two. after applying one vial it seemed even worse than before. (tread catches as i walk.) so i applied the second vial just to make it usuable. (still not great.) this stuff is overpriced and either they don't give you enough or it's poor quality ",negative
" this stuff has a very strong smell -- like wd-40 or something. if you can stand the smell you might as well buy a can at the local hardware store -- at least then you'd probably get a little straw that could be used to spray it under the center of your treadmill belt. i bought this stuff because i thought it would be odorless like all other treadmill lubricant i've bought. but it isn't odorless. it really stinks. i don't like that permeating smell in my house especially in my workout room. i recommend the lifespan 100% silicone lubricant. it's a little pricier for the quantity you receive but it's the good (odorless) stuff ",negative
" i purchased this matt to protect my laminate flooring from the weight of my heavy elliptical exercise machine. unfortunetly the matt is not thick and compresses to paper thin under the weight of the elliptical. i would not recommend this to anyone with anything more than very light exercise equipment ",negative
" ...for more than a couple of minutes (no matter what i did) and the toilet monster kept falling into the drink. overall it was quite underwhelming as a practical joke. i've gotten much better results for the same money with other products ",negative
" the suction cups do not work on many toilet seats. though the idea is great save your money unless you have some to burn ",negative
" this is the biggest joke on the planet. no doubt it is scary but c'mon people. i guess it's to scare the sh*t out of you. my comment has to be the first serious review that has been made for this item. think about it . . . the toilet. one of the best places for germs. and you want to attach some rubber device to it. i'll do you one better and you'll get just as good a laugh from it. (also it'll be a lot cheaper) go buy a roll of saran-wrap. cling it tightly to the top of the toilet bowl. wait and watch as your guest visit the bathroom to use it. i don't think no one will die from this type of trick ",negative
" i thought this would be an actual toilet monster and was happy to see such a low price. it is however made out of rubber and can not actually eat people ",negative
" i consider my dogs to be small - they are all around 25 pounds. i have had to tighten everything on the backpack to keep them from being too loose and i still feel like they are a little bit too big. i think that for a small backpack that they are just too large. thank you ",negative
" i returned this item as it didn't fit my 19-pound boston terrier well at all. it was way too large for his body. small obviously means small for a larger dog instead. just be aware! ",negative
" absolutely no use to me whatsoever. next ",negative
" i purchased the ab lounge 2 online but returned it the same day. it's too bulky & heavy. i wanted it for my bedroom to use in the mornings while watching the news but it's too heavy to move around and it does not fold. i put it together in my living room and then tried to get it into my bedroom but it wouldn't fit through the door. i had to un-screw the bars fold & pull it through the door. if i had put the ab lounge 2 downstairs then i would never use it. unless you want the ab lounge 2 to be a permanent fixture in your bedroom or living room then i would order something else. i need this thing to be where i can easily use it & then put it away.......the ab lounge 2 is way too big & bulky for that. unless you have a room where it will remain a permanent fixture then don't buy it. i'm buying the ultra ab lounge because it folds for easy storage....it's more expensive but to me it's worth the convenience of having the easy storage capability. i don't my exercise equipment to be sitting in my bedroom or living room when it's not in use. ",negative
" i tried this last year and by the second day i woke up in great pain. i tried it again a few weeks later hoping it wasn't the juice that caused the pain the first time and the same thing happened. i give it 2 stars because i actually did lose a few pounds on this stuff ",negative
" i myself is a proform treadmill customer and tortured by their customer services. i also found some reviews on the internet mentioning their machines broke down in several months after purchase. (mine in three months.) the strategy of the customer service is basically make wild guesses of what went wrong and send you the parts asking you to replace it by yourself. (in one occasion they even asked me to take off the motor and find a local garage to test the motor to see if it's good.)these back-and-forth guessing games normally drag on for months and eventually they claim the warranty expired and they can no longer serve you even though it's still within one year. i believe you are looking for a treadmill for exercise not to practice your debate skill over the phone with some customer service keep saying: this is our policy. ",negative
