text,class
" the others summed it up. cheap parts difficult to adjust. put your money towards the ez rip instead. costs more but much better results ",negative
" i bought this item with the idea of saving time it worked great until i dropped it which was about three hours into the day the cheaply made star wheels that score the paper bent over now as you can imagine it leaves a wavy line instead of a nice straight one i am very disapointed with the quality of this product and would not buy another on ",negative
" i was really looking forward to getting this tool and saving some time. it sorely disappointed me. it was very hard to adjust to the right depth of cut and instead of using a razor to cut the paper it uses a pair of very cheap star wheels to perforate. even when finally set to the right depth of cut the wheels wobbled all over the place leaving a wavy cut. it seems like a good idea but i guess i'll have to make my own to get it to work right ",negative
" the saw does not come with a case and you have to use a allen wrench to change the blades. for a little more money you could get a saw with a case and quick release to change the blades ",negative
" i used it about 10 times in 2 years and it did the job well. used it as blower and mulcher and was pretty happy with the results. unfortunately now it smells like burnt everytime i use it. i opened it up the other day and it looks the like motor collectors are giving up. not an expesive tool but it should have lasted more than 2 years of light use ",negative
" didn't snow yet so i don't know hw it would work for snow shovelling but for sweeping dirts from my deck and driveway it's totaly useless. now i have to buy a traditional broom to do that job. generally speaking this is a bulky hard to install hard to maneuver tool that do much less job than expected. highly not recommended ",negative
" i'm not mistaking the product i'm reviewing here. use this shovel 20 minutes every day and you'll beat bowflex. it's much worse than my trusty $8 plastic shovel. incredibly awkward design -- you'd think the handle should be tilted back while you push the shovel forward (almost effortlessly i hoped). wrong. the handle needs to stay vertical so that the moving parts -- below the cover -- can get in touch with the snow and shovel it. you can't push when the handle is vertical instead there is a side handle provided which you're supposed to use to actually pull the shovel forward. that is you're standing behind the shovel (because it throws forward) holding the vertical handle with one hand and pulling the other handle forward and away from you!!!. extremely awkward. in addition to really working your upper body you'll feel pain in your wrist neck and shoulder joints not to mention the lower back. the snow throwing action itself is very clumsy and erratic. a little wind will blow the fine snow powder in your face. to add to the mess this thing throws forward not to the sides and i'll leave it up to you to imagine the implications of that ",negative
" the others summed it up. cheap parts difficult to adjust. put your money towards the ez rip instead. costs more but much better results ",negative
" i bought this item with the idea of saving time it worked great until i dropped it which was about three hours into the day the cheaply made star wheels that score the paper bent over now as you can imagine it leaves a wavy line instead of a nice straight one i am very disapointed with the quality of this product and would not buy another on ",negative
" i was really looking forward to getting this tool and saving some time. it sorely disappointed me. it was very hard to adjust to the right depth of cut and instead of using a razor to cut the paper it uses a pair of very cheap star wheels to perforate. even when finally set to the right depth of cut the wheels wobbled all over the place leaving a wavy cut. it seems like a good idea but i guess i'll have to make my own to get it to work right ",negative
" the saw does not come with a case and you have to use a allen wrench to change the blades. for a little more money you could get a saw with a case and quick release to change the blades ",negative
" i used it about 10 times in 2 years and it did the job well. used it as blower and mulcher and was pretty happy with the results. unfortunately now it smells like burnt everytime i use it. i opened it up the other day and it looks the like motor collectors are giving up. not an expesive tool but it should have lasted more than 2 years of light use ",negative
" didn't snow yet so i don't know hw it would work for snow shovelling but for sweeping dirts from my deck and driveway it's totaly useless. now i have to buy a traditional broom to do that job. generally speaking this is a bulky hard to install hard to maneuver tool that do much less job than expected. highly not recommended ",negative
" i'm not mistaking the product i'm reviewing here. use this shovel 20 minutes every day and you'll beat bowflex. it's much worse than my trusty $8 plastic shovel. incredibly awkward design -- you'd think the handle should be tilted back while you push the shovel forward (almost effortlessly i hoped). wrong. the handle needs to stay vertical so that the moving parts -- below the cover -- can get in touch with the snow and shovel it. you can't push when the handle is vertical instead there is a side handle provided which you're supposed to use to actually pull the shovel forward. that is you're standing behind the shovel (because it throws forward) holding the vertical handle with one hand and pulling the other handle forward and away from you!!!. extremely awkward. in addition to really working your upper body you'll feel pain in your wrist neck and shoulder joints not to mention the lower back. the snow throwing action itself is very clumsy and erratic. a little wind will blow the fine snow powder in your face. to add to the mess this thing throws forward not to the sides and i'll leave it up to you to imagine the implications of that ",negative
" these are great cleaning wipes. living here on the east coast when it snows and the salt and road dirt get all over the car it's not so easy to get to a car wash right away pull one of these out and it cleans so well and leaves a great shine. my husband and i use these even after going to a car wash when you see water spots just 1 sheet will clean it all up. i hope they don't stop making them. lately have not been able to find them in the stores.... ",positive
" these are great! you start out with a clean car and every week or so you dust it and wipe it down with one of these even use the same wipe to wipeoff the brake dust off wheels and pipes. the above reviewer is right about the glass but i always do that separate anyway. i drive a black muscle car and everybody thinks i spend hours on the car. the only problem.....i can't find 'em anymore ",positive
" these wipes are a great way to remove dust from your car and leave a wet-look to the finish (don't use them on the windows though). the shine lasts for several days and a couple of people have asked me what kind of wax i use on my car. when i tell them i haven't been waxing the car they look at me funny ",positive
" this is a great flashlight very bright for its size very solid a great item indeed ",positive
" this mini mag is really very goodthough its a bit overpriced at amazon.com i realized it after purchasing.future buyers check walmart/target for a lower price ",positive
" this one is just as bright as the aa mini maglite and is considerably thinner and lighter. extremely durable. i've had one for several years now and it's taken quite a beating in the car and in my toolbox ",positive
" i used this light for years when i led camping trips with inner city teens. it worked out perfectly when trying to negotiate a small tent. you can hold it in your mouth to direct it's light or use the candle feature. either way it's small size and ruggedness was exactly what i needed ",positive
" when my husband received this as a gift....i promptly stole it from him. it is nice and light and you can keep it in your purse or in the glove box in the car. if your headlights went out you could use it to drive by...just kidding. the light output is very impressive. i like this size since the larger 4 and 5 battery sizes are very heavy. i wish they would dream up something besides the diamond-knurled grip. it gives me the same feeling as chalk scrapping on a chalkboard does ",positive
" in japan this is the best item to examine pupil reflex for light and to see palate or tonsils ",positive
" having used the supra locks which i like a lot i found the master lock key safe and tried it out. it is very heavy duty and holds much more than supra. the combo is easy to change (takes seconds) and it is very weather proof. i like it better than the supra except you must leave the combination dialed in to close it. someone could see it. the supra does not show which button(s) were pushed. all things considered i will be buying the master lock in the future. ",positive
" if i could afford it i'd get one for each of my gardener friends. sometimes i might need a spade or pruners or shovel but overall the hori hori is often the only tool i take outside to plant and weed. solid unbending steel helps pry out deep weeds or dig a hole even in packed clay or gravel. the serrated edge is great for butterflying root-bound plants. and the centimeter markings helps me properly place seedlings and bulbs. one thing i'd recommend that's been really helpful for me is to tie some long (15-20) fluorescent plastic tape through the hole so that you don't lose it in the dirt; there'll always be some pink or orange ribbon sticking out even if you bury the hori-hori by mistake. ",positive
" i bought this set of tools when it was on sale. the quality is decent but for its price it is still a no brainer to buy ",positive
" if i want professional quality tools i will pay for it. if i want something simple and cheap to use when the rest of my tools are in storage this is fine. i figure i'll use two sockets tops over a year for changing the oil and assembling the bunk bed - for under 5 bucks this does very nicely. would not use for serious projects but for the occasional use - its fine ",positive
" this product is so great so with the price its a great bargain and so usefull around the house and in my cars ",positive
" i got this as a freebie when i bought the porter-cable cffn250n finish & brad nailer combo kit on a promo a few months ago. the saw worked great for tearing out a big part of my house to be remodeled including nails drywall studs etc.. i did have a little trouble with the blades and allen wrench at first (mostly just trying to keep track of the wrench) but now have things all figured out and it works great ",positive
" i was a little doubtful because of the complaint about blade changing but obviously that consumer was wrong. this was easy to operate fast and the best unit i could have purchased ",positive
" the dw 303 is a little lighter weight than a standard sawzall but does not lack guts. i have used it a lot doing some re-modeling cutting both wood (2x4s) drywall particle board and metal (galvanized & abs pipe). it did a great job ",positive
" shipping to quick to be true. item was exactily as described. could'nt ask for better service ",positive
" the only disappointment was the tool came in a cardboard box rather than a suitable hard cover case for transport to and from the job. first use proved to be exactly what i expected from dewalt. the tool is heavy enough to help manage difficult cutting tasks (screws are much harder than nails) but light enough to allow for extended use. ken katy tx ",positive
" ordering this item was very easy and it arrive quickly. we finally got a chance to use it to cut post for our fence we are putting up it cut the job in 1/2!!! ",positive
" it's the best saw that i have ever used. i'm used to use jig saw and circular saw. however the reciprocating saw is outstanding ! i'm using this to cut trees metal pipes and heavy woods. the performance of this saw is amazing ",positive
