text,class
" this wasn't actually a card game. it was more of a book of 88 tear out sheets with one game each. they is no way that this can be played as a card game. the box doesn't even indicate that it's a card game. i thought this would be a fun card game for my husband & daughter to play together. you can purchase magazines with more games for less price. i wouldn't recommend this product unless you would like an overpriced book of sudoku games. i'm returning it & buying an electronic version for husbands pda. the price is about the same. ",negative
" i bought this for my 2 yr old daughter. i was so surprised at the quality for little tykes. it has no storage and the refridgerator door would not stay closed. i think it should cost half of what it does. i purchased the step two kitchen when my daughter was three and it is way better by far ",negative
" i bought this for my 5 year old daughter and we tried to take very good care of it. within a few days of careful use one of the latches bent a hinge broke off and a piece of the edge came unglued. it is a great idea but needs better construction. on a positive note my daughter loved it and would have spent hours drawing and creating with the tools inside if i let her. however i had to take the box away so further damage does not occur before i can fix it. the drawers work fine. the problem is with the two doors on top that flip out. note about drawers; little plastic door knobs pop out. need to be glued in. ",negative
" my daughter has an earlier version that the one shown so it is possible they have addressed some of these issues: 1) most games have a 1 minute time out which is really frustrating for my kids 2) oh that's not so good - if i hear barbie say that one more time i may just throw this thing out the nearest window. my daughter will get a score in a game she feels really good about and barbie says oh that's not so good but you'll be better with a bit more practice this has broken my daughter down into tears more than once. 3) there are no parental controls. i wanted to turn off or lengthen the timer. i expected those sorts of features from oregon scientific. right now the most fun thing my kids do with it is play the flower fun game (like hangman) and type in icup if you are looking at a newer version of this i would strongly recommend playing with a demo for a few minutes to check it out ",negative
" my daughter received this as a gift & we all found it extremely difficult to use. i was not able to play most of the activities on the screens without first getting the handbook out & doing step by step which was still not very easy to figure out. it was not at all easy for a child to enjoy. there were very few activities my 6 year old daughter was able to understand & play. it is too advanced & difficult to use for the ages listed. the screen on the monitor was low graphics & poor lighting quality as well. this is a very expensive mistake that provided no benefit or fun to my daughter ",negative
" i am the mother of two elementary aged children who love art projects. this was a christmas gift and i was never so disappointed in the quality of this item. it arrived with crayons broken and the ones that weren't you couldn't even use on paper. the markers are dry and caps don't stay on. this is a terrible product and the price is ridiculous!!! definitely would be better off purchasing these items elsewhere!! ",negative
" the case is a cheaply made box of wood that did not even survive shipping. the materials contained inside are poor quality. the rating does not deserve one star. i returned it due to the damage sustained in shipping but it would have been returned regardless because it is garbage! ",negative
" yum...play food! this is a great set. i will buy it as soon as i find it. this is a great set! lots of cans (good for storage) ice cream boxed treats cookies (yummy) and of course much more. and who could resist the spaghetti with meatballs? and is that chocolate chips on the ice cream? oh my gosh it's better than i thought. you might think that to have a good time your child needs 40 dollar melissa and doug wooden play food with real cutting noises and a fisher price 100 dollar kitchen for imaginative play. bullpies i say. i have tons of dollar-store food. i have ultra-realistic foam food from a kitchen set i got. i prefer the dollar store food. dollar store food is better because it has more in one package looks real is cheap pretty durable and looks nice. i have a really silly play food set that came with a stovetop (small but the knobs turn!) a pink and purple propane tank a can of barracuda (seriously) and a can of barracuda hash which included barracuda ham and eggs chicken turkey potpie and more eggs. but the logo has spam and a hotdog and the front of it has beans turkey fish sausage and lots of weird meat. but it says eatable 100% dainty present! daintiness dainty. just wanted to let you know. so bottom line is dollar store play food is much better than you think it is. it comes with lots of things that the expensive companies would never have dreamed of ",negative
" it seems like a nice complete set of playfood except that the boxes are really flimsy cardboard and i've thrown most of them out already. it doesn't take much to crush them. there are much nicer sets out there and there are separate pieces sold on ebay that are probably used but will stand the test of your kids much better. not worth the money ",negative
" i was really excited about this toy because it was a stacking and sorting toy in one. and i love laugh and learn toys. i got it for my daughter for christmas when she was 16 months old. she never liked it. i kept it out and encouraged her to play with it but she just really didn't get into it. also there is a sticker that goes on the bottom of the top pot so you can see the shapes through the holes on the lid and the sticker shapes don't match the holes! unfortunately this toy was a big let down. ",negative
